#pt_Higgs-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
            108   0.0033180702  7.6153309e-05   0.0030399656  6.7046684e-05   0.0035064707  9.8368238e-05
            109   0.0033896423  7.7368129e-05   0.0031347074  6.8285849e-05   0.0036212128  0.00010231907
            110    0.003352629  7.7502712e-05   0.0030891444  6.8528841e-05    0.003580767  0.00010113362
            111   0.0033825884  7.7036677e-05   0.0031073944  6.8025323e-05   0.0036441391  0.00010307928
            112   0.0033142748  7.6800479e-05   0.0030634953  6.8025512e-05   0.0035672507  0.00010014598
            113   0.0033245796  7.4960726e-05   0.0030216867  6.6329226e-05   0.0036447015  9.7384121e-05
            114   0.0033332247  7.6392843e-05   0.0030900249  6.8056414e-05   0.0035426411  9.8678488e-05
            115   0.0031292386  7.3787495e-05   0.0028599038  6.4326022e-05   0.0034196393  9.6596064e-05
            116   0.0031496436  7.5448819e-05   0.0029009406  6.6939832e-05   0.0033537073  9.7393494e-05
            117   0.0031724941  7.4124997e-05   0.0028981593   6.502647e-05   0.0034708084  9.5847444e-05
            118   0.0030521612  7.3201968e-05   0.0028006855  6.4364556e-05   0.0033315313   9.708642e-05
            119   0.0030890294  7.2988272e-05   0.0028353093  6.4000259e-05   0.0032767797  9.5650893e-05
            120   0.0029775287  7.2319216e-05   0.0027510365  6.3652237e-05   0.0031974007  9.4905279e-05
            121   0.0030443537  7.3652081e-05   0.0028095104  6.5395906e-05   0.0032362839  9.5592323e-05
            122     0.00305016  7.2361754e-05   0.0027805426  6.3249664e-05   0.0033757712  9.4234432e-05
            123    0.002893913  7.0976316e-05   0.0026668645  6.2457101e-05   0.0031088804  9.3693479e-05
            124   0.0029396195  7.1603439e-05   0.0027089361  6.2735409e-05   0.0031811624  9.3460541e-05
            125   0.0029950545  7.1498345e-05    0.002743743  6.3047654e-05   0.0032580081  9.2650078e-05
            126   0.0029733503  7.1457398e-05   0.0026990407  6.2684011e-05    0.003237768  9.3362286e-05
            127   0.0029704907  7.2104155e-05   0.0027515453  6.4211088e-05   0.0031741506  9.3417137e-05
            128   0.0028066464  7.0013336e-05   0.0025652034  6.1194897e-05   0.0030402252  9.0982086e-05
            129   0.0028891283  7.1078735e-05   0.0026425054  6.3056226e-05   0.0031171484  9.1055774e-05
