#      ptt+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      0.3220082   0.0044071238     0.30084155   0.0039403586     0.35005954   0.0057550131
             10     0.94352278   0.0082677578     0.89307447   0.0098514889      1.0156748   0.0098272271
             20      1.4990888   0.0098536468      1.4110925    0.010205368      1.6078074    0.011518895
             30      1.9728743     0.01083452      1.8664153    0.010665838      2.0965987    0.013321018
             40      2.3321643    0.011706664      2.1948723    0.011243379      2.4954631    0.014745713
             50       2.569171    0.013881807      2.4299572    0.014200063      2.7384588    0.015666441
             60      2.7577942    0.013276208      2.6035443    0.012082407      2.9276738    0.016759749
             70       2.791029    0.016935368      2.6323603    0.014154398      2.9601043    0.023696329
             80      2.7948331    0.013312083      2.6356135    0.013178109      2.9669416    0.016114484
             90      2.7052441    0.013409894      2.5432998    0.013507312       2.870306    0.016059022
            100      2.5685434     0.01178126      2.4173013    0.011214401      2.7220051    0.014757098
            110      2.4388766    0.013871977      2.3041344    0.016438736      2.5735478    0.013929397
            120      2.2542576    0.011466621      2.1200429    0.011682517      2.3830513    0.013410304
            130      2.0821696    0.010989877      1.9514305    0.011288159      2.2079905    0.012921263
            140      1.8988462    0.013880767      1.7722879    0.010298281      2.0025444    0.012099751
            150      1.7124074   0.0093690722      1.5991816   0.0089518895      1.8181609    0.011732363
            160       1.562061    0.012280764       1.463605    0.014218095      1.6622301    0.014911311
            170      1.4007297   0.0089120676      1.3043214    0.010009763      1.4949268    0.010817861
            180      1.2494714   0.0080682027      1.1580126   0.0080077132      1.3388193   0.0096473879
            190      1.1172288    0.007353195      1.0307849   0.0068789156      1.2022671   0.0090295087
            200     0.98905884   0.0073951272     0.91771671   0.0074996557      1.0531484   0.0084984686
            210     0.89520157   0.0066783422     0.82540341   0.0063501445     0.96290215   0.0080448988
            220     0.79261868   0.0063970212      0.7280802   0.0059467415      0.8504159   0.0075272851
            230     0.71458044   0.0065178245     0.65718583   0.0063130164     0.76836627   0.0074576336
            240     0.63689112     0.00560032     0.58162337   0.0052961345     0.69303802   0.0066784999
            250      0.5677727   0.0062426734     0.52236935   0.0067487008     0.60788769    0.006307372
            260     0.50690122   0.0049337109     0.46289621   0.0047070015     0.54911354   0.0063122961
            270     0.45346101   0.0047375242     0.41705198   0.0054531514       0.487555   0.0056689322
            280     0.41254717   0.0047357097     0.37540244    0.004554113     0.44816351    0.005461636
            290     0.36583397   0.0043567758     0.33436602   0.0042340356     0.39523116    0.005010638
            300     0.32176816   0.0038813377     0.29106157   0.0034856376     0.35253035   0.0047580713
            310     0.29570479   0.0037611826     0.26784195   0.0035076411     0.32231464   0.0044876339
            320      0.2638189   0.0041454023     0.23997979   0.0042399092     0.28692074   0.0044757147
            330     0.23707628   0.0033371053     0.21455714   0.0030828483     0.25952101     0.00402665
            340     0.20864714    0.003258732      0.1890322   0.0031185518     0.22649672   0.0037508263
            350     0.18778547   0.0030992116     0.17019614   0.0030247094     0.20385378    0.003572207
            360     0.16569906   0.0027919628     0.14930343   0.0025852051     0.18133357   0.0033192559
            370     0.15336767   0.0026234628     0.13789915   0.0023675444     0.16829038   0.0031740122
            380     0.13787622   0.0025361211     0.12265108   0.0027441619     0.15088329   0.0030613357
            390      0.1212943   0.0023402712     0.10898406   0.0021044065     0.13302499   0.0028399905
            400     0.11375622   0.0026175399     0.10215021   0.0028234279     0.12437222   0.0027214716
            410     0.10394702   0.0023244743     0.09302221   0.0022004647     0.11460822   0.0026552741
            420    0.091679113   0.0021688566    0.081845692   0.0019168173     0.10012432   0.0024756473
            430    0.084241665    0.001950834    0.075196172    0.001747264    0.092775311    0.002357638
            440    0.075691024   0.0025004941    0.068916737   0.0030199144    0.082294159     0.00237661
            450     0.06892351   0.0019014103    0.062306322   0.0019033694    0.074950682   0.0021111563
            460    0.064614835   0.0016916048    0.057347928    0.001550621    0.071734218   0.0020109461
            470    0.055552718   0.0019532055    0.050421278   0.0021284786    0.060120886   0.0019742263
            480    0.049618598   0.0015086352    0.044420682   0.0013906995    0.054113225   0.0018113872
