# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      14.810885    0.022675806      10.539189    0.016261948      21.406893    0.032555858
            0.2      14.567667    0.022976106      10.366979    0.016548449      21.053544    0.032852682
            0.4      14.283225    0.022500054      10.166346    0.016188934      20.637687    0.032195283
            0.6      14.071213    0.023502041      10.017912    0.017243183      20.325511    0.033039698
            0.8      13.977624    0.023981883       9.952985    0.017539403      20.185969    0.033774584
              1      14.179419      0.0237525      10.099142    0.017231506      20.471775    0.033686456
            1.2      14.580554    0.023478839      10.387325    0.017006213      21.045253    0.033357194
            1.4       15.28541    0.028007727      10.891268    0.020513874      22.058097     0.03930819
            1.6      16.343359    0.023515034      11.647786    0.016975705      23.578694    0.033521814
            1.8      17.861641    0.024306944      12.731226    0.017537453      25.765972    0.034668555
              2      19.933701    0.026393887      14.207038    0.019154959      28.757151    0.037418584
            2.2      22.654649    0.028209453       16.14702    0.020420609      32.680492    0.040098848
            2.4      26.265092    0.030184626       18.71553    0.021893895      37.899526    0.042837524
            2.6      30.712617    0.032699584       21.86542    0.023625463       44.35827    0.046580728
            2.8      35.037031    0.036091736      24.899353    0.026106197      50.698616    0.051362068
              3      25.669113    0.047196032      18.176046    0.034841374      37.279574    0.065701386
            3.2      25.669113    0.047196032      18.176046    0.034841374      37.279574    0.065701386
