#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.8995946    0.010426855      2.0642599   0.0074520357       4.188289     0.01502041
            0.2      7.9608164    0.017224459      5.6715559    0.012364409      11.489544    0.024701264
            0.4      11.488348    0.020484033      8.1869342    0.014751191      16.575696    0.029289634
            0.6      13.668464    0.021894077      9.7423874    0.015736939       19.71701     0.03135501
            0.8      14.854963    0.023311567      10.587227    0.016950425      21.430084      0.0330291
              1      15.400351    0.024478009      10.974947    0.017755971      22.219193    0.034722874
            1.2      15.849039    0.025495914      11.294942     0.01876944      22.866152    0.035689938
            1.4      16.311657    0.023968171       11.62483    0.017311117      23.533259    0.034144544
            1.6      17.014436    0.024126458      12.127422    0.017444051       24.54325    0.034334967
            1.8      18.071607    0.029364019      12.883114    0.021484831      26.063163     0.04125621
              2      19.654177    0.025385359      14.012302    0.018329475      28.343276    0.036175409
            2.2      21.941824    0.027734345      15.643944    0.020101988       31.64025    0.039367164
            2.4      25.014772    0.029772506      17.834721    0.021627612       36.07164     0.04217608
            2.6      28.915711    0.031935945      20.605559    0.023121242      41.718386    0.045384446
            2.8      33.396147    0.033772993      23.768719    0.024414485      48.245262    0.048076116
              3       32.45413    0.045144864      23.023327    0.033279558      47.044772     0.06293989
            3.2      9.7972939    0.027494059       6.901708    0.020117386      14.318262    0.038661076
            3.4      3.3441041    0.014362102      2.3404523    0.010359468      4.9251814    0.020543311
            3.6      1.3052021     0.00898068     0.90742157   0.0063921189      1.9373059    0.013044765
            3.8     0.53427542   0.0058084059     0.36989796    0.004055196     0.79705792   0.0086211163
              4     0.21848282   0.0041724114     0.15046067   0.0029101589     0.32800784   0.0062074475
            4.2    0.083251587   0.0041447468    0.056937744   0.0029493656     0.12592388    0.006034214
            4.4    0.036774865    0.001773989    0.025165905   0.0012027339     0.05560836   0.0027289141
            4.6    0.012295869   0.0010882979   0.0084180247  0.00072823036    0.018579634     0.00169833
            4.8    0.004071322  0.00099287118    0.002889386  0.00063938327   0.0058882545   0.0016172523
              5    0.004071322  0.00099287118    0.002889386  0.00063938327   0.0058882545   0.0016172523
