# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      109.88488              0       109.8274              0      109.94236              0
            3.2      118.77423              0      118.71283              0      118.83563              0
            3.4      59.735299              0      59.688475              0      59.782123              0
            3.6      34.262654              0      34.224761              0      34.300547              0
            3.8      20.565189              0      20.535368              0       20.59501              0
              4      13.018544              0      12.993288              0        13.0438              0
            4.2      8.5619276              0      8.5410995              0      8.5827557              0
            4.4      5.8279945              0      5.8106039              0      5.8453851              0
            4.6      4.1133317              0      4.0978125              0      4.1288509              0
            4.8      2.9857723              0       2.970329              0      3.0012156              0
              5      2.9857723              0       2.970329              0      3.0012156              0
