# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    -0.71547791              0    -0.72153776              0    -0.70941806              0
            0.2    -0.76310239              0    -0.76861752              0    -0.75758726              0
            0.4    -0.84720726              0    -0.85271754              0    -0.84169698              0
            0.6    -0.94725868              0    -0.95225906              0     -0.9422583              0
            0.8     -1.0888885              0     -1.0937171              0     -1.0840599              0
              1     -1.2741419              0     -1.2791334              0     -1.2691504              0
            1.2     -1.5031571              0     -1.5080254              0     -1.4982888              0
            1.4     -1.8138254              0      -1.819013              0     -1.8086378              0
            1.6     -2.2331495              0     -2.2386599              0     -2.2276391              0
            1.8      -2.799157              0     -2.8051793              0     -2.7931347              0
              2     -3.5815541              0     -3.5889434              0     -3.5741648              0
            2.2     -4.6709867              0     -4.6785393              0     -4.6634341              0
            2.4     -6.2738246              0     -6.2824984              0     -6.2651508              0
            2.6     -8.6772852              0     -8.6876055              0     -8.6669649              0
            2.8     -12.916166              0     -12.928336              0     -12.903996              0
              3     -16.474388              0      -16.49105              0     -16.457726              0
            3.2     -16.474388              0      -16.49105              0     -16.457726              0
