#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   -0.048263454              0    -0.05099208              0   -0.045534828              0
            0.2    -0.17593041              0    -0.17996229              0    -0.17189853              0
            0.4    -0.34066256              0    -0.34541134              0    -0.33591378              0
            0.6    -0.51919872              0    -0.52399662              0    -0.51440082              0
            0.8    -0.73979894              0    -0.74476511              0    -0.73483277              0
              1    -0.97206554              0      -0.976827              0    -0.96730408              0
            1.2     -1.2443339              0     -1.2492779              0     -1.2393899              0
            1.4     -1.5615956              0     -1.5667765              0     -1.5564147              0
            1.6     -1.9469915              0     -1.9523323              0     -1.9416507              0
            1.8     -2.4521309              0     -2.4578255              0     -2.4464363              0
              2     -3.1237134              0      -3.130855              0     -3.1165718              0
            2.2     -4.0285817              0     -4.0354136              0     -4.0217498              0
            2.4     -5.3318905              0     -5.3401247              0     -5.3236563              0
            2.6     -7.2084514              0     -7.2176876              0     -7.1992152              0
            2.8     -10.147362              0     -10.158251              0     -10.136473              0
              3     -14.723684              0      -14.73677              0     -14.710598              0
            3.2     -8.2785114              0     -8.2916653              0     -8.2653575              0
            3.4     -2.0240162              0     -2.0302278              0     -2.0178046              0
            3.6    -0.76086495              0    -0.76459723              0    -0.75713267              0
            3.8    -0.37266344              0    -0.37532421              0    -0.37000267              0
              4    -0.20416231              0    -0.20617177              0    -0.20215285              0
            4.2     -0.1231714              0    -0.12471786              0    -0.12162494              0
            4.4    -0.07823227              0   -0.079494136              0   -0.076970403              0
            4.6   -0.052085242              0    -0.05317124              0   -0.050999244              0
            4.8   -0.036912918              0   -0.037659426              0    -0.03616641              0
              5   -0.036912918              0   -0.037659426              0    -0.03616641              0
