# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      113.09697     0.19560991      106.17499     0.23546543      118.35638     0.36376515
            0.2      112.03621     0.19178495      105.11211     0.17780479      117.29046     0.27123724
            0.4      111.30903     0.19772433      104.51252     0.18702056      116.49742     0.28093969
            0.6      110.19299     0.18707047      103.47711     0.22574916      115.15555     0.26243961
            0.8      110.86803     0.18794618      104.25798     0.17457568      115.88194     0.25973182
              1       112.9435     0.19860639      106.39887     0.18690473      117.81821     0.26394078
            1.2      116.30171     0.19695253      109.68627      0.1891055      121.31967     0.27760309
            1.4      121.98313     0.21784315      115.14702     0.19163402      127.18584     0.31040956
            1.6      129.62583     0.26431817      122.33904     0.38250334      135.35778     0.30024582
            1.8      141.07512      0.2160132      133.68004     0.25122387      147.02142     0.29920788
              2      155.33667     0.23458811      147.52529     0.23427742      161.40611     0.32569505
            2.2      173.66908     0.29034587      165.05105     0.23103898      180.27156      0.3392657
            2.4      197.22477     0.26824217      187.84135     0.25753761      204.49424     0.36888836
            2.6      223.48377     0.31206704      212.98041     0.32021836      231.59056      0.4119296
            2.8      250.16881     0.30622772      239.13968     0.33244206      259.26438     0.43555869
              3      187.77576     0.26939394      179.70059     0.26961901      194.18748     0.39801237
            3.2      187.77576     0.26939394      179.70059     0.26961901      194.18748     0.39801237
