# deta2l-ptHcut        central        num_err    min (scale)        num_err    max (scale)        num_err
# 50
              0     0.17915215   0.0031125001      0.1580239   0.0027488282     0.20169504   0.0035094142
     0.31415927     0.18351905   0.0031518819     0.16197523   0.0027849539     0.20630575   0.0035502114
     0.62831853     0.18835814    0.003192769     0.16637336   0.0028231982     0.21159908   0.0035930567
      0.9424778     0.20191767   0.0033024883     0.17836255   0.0029204786     0.22662811    0.003712586
      1.2566371     0.21723676   0.0034304116     0.19216647    0.003037015      0.2433803   0.0038516112
      1.5707963     0.24652891   0.0036479378      0.2186143   0.0032381463     0.27513714   0.0040828613
      1.8849556     0.26945744   0.0038149891     0.23932863   0.0033930038     0.29998325    0.004257263
      2.1991149     0.29364447   0.0039856401     0.26100571   0.0035451289     0.32646681   0.0044453344
      2.5132741     0.30916307   0.0040892139     0.27542938   0.0036496488      0.3426266   0.0045521004
      2.8274334     0.32379422   0.0041876779     0.28899022   0.0037391056     0.35798368   0.0046519806
      3.1415927     0.32379422   0.0041876779     0.28899022   0.0037391056     0.35798368   0.0046519806
