#        pthlep        central        num_err    min (scale)        num_err    max (scale)        num_err
             25    0.067362648  0.00019466571    0.059718392  0.00017283476    0.075235178   0.0002183098
             50    0.044061302  0.00016334688    0.039068062  0.00014503424    0.049175286  0.00018297442
             75    0.025211782  0.00012720092    0.022360423  0.00011293695    0.028097948  0.00014236414
            100    0.011028512  5.9833345e-05   0.0097927202  5.3209248e-05    0.012250539  6.6832041e-05
            150   0.0035363702   3.466983e-05   0.0031423673  3.0796136e-05   0.0039161134  3.8787379e-05
            200   0.0008529533  1.2143428e-05  0.00076068401  1.0804649e-05  0.00093734465  1.3630394e-05
            300   0.0008529533  1.2143428e-05  0.00076068401  1.0804649e-05  0.00093734465  1.3630394e-05
