# deta2l-mcut80        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.76608823   0.0063572658     0.67742451   0.0056302258     0.85901148   0.0071413388
     0.31415927     0.75304809   0.0063080315     0.66641569   0.0055886083     0.84346563    0.007082694
     0.62831853     0.73786189     0.00624697     0.65393563   0.0055441267     0.82483205   0.0069987931
      0.9424778     0.66257309   0.0059290357     0.58764335   0.0052661325     0.73978952   0.0066332145
      1.2566371     0.53321014   0.0053345109     0.47347562   0.0047425052     0.59424034   0.0059574646
      1.5707963     0.40774356   0.0046744691     0.36230003   0.0041598265     0.45402861   0.0052145757
      1.8849556     0.30390725   0.0040451367     0.26988578   0.0035968374     0.33877142   0.0045197909
      2.1991149     0.22424451    0.003478803     0.19909608     0.00309362     0.25005155   0.0038868602
      2.5132741      0.1868063   0.0031829176     0.16616865   0.0028334326     0.20788596    0.003553444
      2.8274334     0.17705981   0.0030976515     0.15766978   0.0027620869     0.19679593   0.0034511941
      3.1415927     0.17705981   0.0030976515     0.15766978   0.0027620869     0.19679593   0.0034511941
