# deta2l-ptHcut        central        num_err    min (scale)        num_err    max (scale)        num_err
# 20
              0    0.032774928   0.0013338644    0.028954651   0.0011796473    0.036813209   0.0015009606
     0.31415927     0.03442095    0.001365519    0.030317159   0.0012040977    0.038803792   0.0015417441
     0.62831853    0.036482287   0.0014057861    0.032310536   0.0012465368    0.040847461   0.0015759241
      0.9424778    0.034723959   0.0013722079    0.030671952   0.0012133495    0.038969772   0.0015423107
      1.2566371    0.041066613   0.0014919589     0.03629402   0.0013201054    0.046073921   0.0016764599
      1.5707963    0.047853049   0.0016095185    0.042412629   0.0014282465    0.053429816   0.0018004649
      1.8849556    0.050278173   0.0016512987    0.044642993   0.0014680358    0.055988471    0.001842028
      2.1991149    0.054484764   0.0017218554    0.048481402   0.0015331013     0.06049226   0.0019171869
      2.5132741    0.055279226   0.0017336884    0.049264641   0.0015470128    0.061247041   0.0019253248
      2.8274334    0.054506995   0.0017217773    0.048634321   0.0015384405    0.060303783   0.0019094076
      3.1415927    0.054506995   0.0017217773    0.048634321   0.0015384405    0.060303783   0.0019094076
