# deta2l-ptHcut        central        num_err    min (scale)        num_err    max (scale)        num_err
# 100
              0     0.48712868   0.0051039994     0.42943041   0.0045053416     0.54860483   0.0057571747
     0.31415927     0.49940511   0.0051703191     0.44024825   0.0045630959     0.56231535   0.0058319971
     0.62831853     0.52715791   0.0053114164      0.4653571   0.0046935166      0.5925326   0.0059836772
      0.9424778      0.5594644   0.0054700076     0.49415659   0.0048373363     0.62805234   0.0061510698
      1.2566371     0.61273251    0.005726474     0.54208938   0.0050703531     0.68613684   0.0064304282
      1.5707963     0.67505251   0.0060002831     0.59823765   0.0053237663      0.7539772   0.0067171082
      1.8849556     0.75392583   0.0063408081     0.66902254   0.0056321719     0.84021693   0.0070937014
      2.1991149     0.80675757   0.0065575539     0.71713935   0.0058365651     0.89689373   0.0073115553
      2.5132741     0.86652195   0.0067941491     0.77221882     0.00606144     0.95983124   0.0075662077
      2.8274334     0.91783802   0.0069886988     0.81836736   0.0062366419      1.0159673   0.0077675126
      3.1415927     0.91783802   0.0069886988     0.81836736   0.0062366419      1.0159673   0.0077675126
