# deta2l-nomcut        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      0.9687798   0.0071300684     0.85454585   0.0062986277      1.0896539    0.008036788
     0.31415927     0.99243976   0.0072190344     0.87589952      0.0063779      1.1153867   0.0081354973
     0.62831853      1.0441924   0.0074008682     0.92284756   0.0065489184      1.1711994    0.008324236
      0.9424778      1.1251362   0.0076753509     0.99465147    0.006795004      1.2610285   0.0086237663
      1.2566371       1.225154    0.008006868      1.0841495   0.0070924021      1.3705355   0.0089939263
      1.5707963      1.3665275   0.0084364806      1.2114026   0.0074890331      1.5244786   0.0094398284
      1.8849556      1.5270482   0.0089098415       1.355994   0.0079204443      1.6987257   0.0099764525
      2.1991149      1.6571024   0.0092678259      1.4735113   0.0082479279      1.8395527    0.010340333
      2.5132741      1.7673822   0.0095600888      1.5737086   0.0085201418       1.957861    0.010658439
      2.8274334      1.8457281    0.009760939      1.6454183   0.0087100786      2.0412807    0.010871245
      3.1415927      1.8457281    0.009760939      1.6454183   0.0087100786      2.0412807    0.010871245
