#         yslep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.8230279    0.015078966      2.5061072    0.013399374       3.143072    0.016861259
            0.2      2.7824192    0.014975501      2.4690642    0.013306154      3.0996791    0.016741319
            0.4      2.6613827    0.014671957      2.3631567     0.01304817      2.9618793    0.016401604
            0.6      2.4581597    0.014140764      2.1825065    0.012565971      2.7362213    0.015829707
            0.8      2.2091524    0.013444698      1.9593829    0.011936123      2.4626579    0.015052056
              1        1.96089    0.012702821       1.738432    0.011276787      2.1872981    0.014215956
            1.2      1.6793811    0.011798173      1.4896735     0.01047688      1.8722806    0.013213186
            1.4      1.3787691    0.010728422      1.2215648   0.0095123119      1.5393521     0.01202681
            1.6      1.1013157   0.0096252273      0.9764207   0.0085426838      1.2286046    0.010812337
            1.8     0.88199227   0.0086345866     0.78131751    0.007657984     0.98526461   0.0096865414
              2     0.88199227   0.0086345866     0.78131751    0.007657984     0.98526461   0.0096865414
