#           m2l        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0057185917  6.9318213e-05   0.0050650743  6.1493542e-05   0.0063984119  7.7682049e-05
             20    0.015851999  0.00011416493    0.014045366  0.00010129096    0.017724931  0.00012792424
             40    0.024267727   0.0001401031    0.021514706  0.00012435938    0.027117814  0.00015694855
             60    0.028814451  0.00015194424    0.025568448  0.00013503282    0.032150417  0.00016990261
             80    0.027919647  0.00014991883    0.024812439  0.00013341327    0.031076381   0.0001673992
            100    0.024073355   0.0001399739    0.021389636  0.00012450219    0.026787233  0.00015650091
            120    0.018530742   9.995418e-05    0.016455051  8.8867877e-05    0.020620566  0.00011163452
            150    0.011270728  6.0475305e-05    0.010002862  5.3734601e-05    0.012537359  6.7616185e-05
            200   0.0055984353  4.3380843e-05   0.0049586729  3.8480516e-05    0.006235772  4.8598259e-05
            250   0.0028679277  3.1360968e-05   0.0025382639  2.7782024e-05   0.0031941532  3.5272199e-05
            300   0.0011625244   1.420435e-05   0.0010255521   1.252159e-05   0.0012973933  1.6200725e-05
            400  0.00035725685  7.9476116e-06  0.00031299073  6.9373186e-06  0.00040186312  9.1260854e-06
            500  0.00035725685  7.9476116e-06  0.00031299073  6.9373186e-06  0.00040186312  9.1260854e-06
