#deta2l-mcut200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.18244147   0.0031444537     0.15980065   0.0027573947     0.20703424   0.0035787534
     0.31415927     0.21580884   0.0034180032     0.18933052   0.0030013912      0.2444047   0.0038821466
     0.62831853     0.27630436   0.0038625495     0.24313874   0.0034031447     0.31152139   0.0043673093
      0.9424778     0.42061221   0.0047569562      0.3709823   0.0042017032     0.47255615   0.0053593884
      1.2566371     0.62667895   0.0057883824      0.5541276   0.0051224163     0.70148493   0.0065075725
      1.5707963     0.85103221   0.0067205221     0.75494668   0.0059685467     0.94836557   0.0075132186
      1.8849556      1.0151699   0.0073268765     0.90330679   0.0065274109      1.1262263   0.0081849059
      2.1991149       1.090816   0.0075838557     0.97176087   0.0067634126      1.2084996   0.0084362336
      2.5132741      1.0932756   0.0075945806     0.97456504   0.0067774445      1.2104034   0.0084405345
      2.8274334      1.1011854   0.0076211679     0.98270284   0.0068100965      1.2177176   0.0084546314
      3.1415927      1.1011854   0.0076211679     0.98270284   0.0068100965      1.2177176   0.0084546314
