#         total        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      4.2472732   0.0063347409      3.7674383   0.0056300243      4.7342867   0.0071169885
              1      4.2472732   0.0063347409      3.7674383   0.0056300243      4.7342867   0.0071169885
