#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      49.298468     0.12006029         40.453    0.097819511      61.228642     0.15186946
            0.2      49.716886     0.12073411      40.851537    0.098461944      61.637943     0.15250202
            0.4      51.360095     0.12280051      42.298763      0.1003443      63.485937     0.15480788
            0.6        54.0873     0.12610357      44.630266     0.10318109      66.689233     0.15870987
            0.8       58.34787     0.13112137       48.25932      0.1074708      71.707912     0.16456986
              1      64.352727     0.13777535      53.374277     0.11313897      78.789734     0.17232942
            1.2      72.858423     0.14680754      60.620835     0.12190296      88.827712      0.1853293
            1.4      84.834707     0.15810259        70.7771     0.13041939      103.02855     0.19670503
            1.6      101.65144     0.17309542      85.112015     0.14315442      122.83684     0.21468194
            1.8      125.75355     0.19223109      105.67297     0.15937292      151.17953     0.23750714
              2      160.46335     0.21632132      135.39455     0.18006479      191.75298      0.2666394
            2.2       209.6168     0.24572207      177.72479     0.20518794      248.70529     0.30146597
            2.4      280.19795     0.28154073      238.88358     0.23605471      329.70392     0.34405322
            2.6      374.81767       0.321557      321.32586     0.27073423      437.28899     0.39218926
            2.8      482.78931     0.36053161      416.26123     0.30547598      558.27702     0.44131452
              3      391.16874     0.33092978      338.42377     0.28044702      449.89093     0.40366565
            3.2      391.16874     0.33092978      338.42377     0.28044702      449.89093     0.40366565
