#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      129.50947     0.19495395      110.55377      0.1638797      151.89456     0.23738226
            0.2      127.97461     0.19381269      109.23992     0.16289044      150.12055     0.23635445
            0.4      126.37115      0.1924703      107.80444       0.161689      148.39901     0.23453977
            0.6      125.22155     0.19149104      106.75934     0.16085065       147.2063     0.23333248
            0.8       125.0726     0.19164364      106.55366     0.16083284      147.21536     0.23383466
              1      126.77855     0.19251784       107.9434     0.16193527      149.37506     0.23602289
            1.2      129.69382     0.19495821      110.39167     0.16343504      152.91676     0.23788425
            1.4      134.99592     0.19890179      114.81632     0.16664237       159.3734     0.24297689
            1.6       143.6974      0.2049921      122.18261     0.17204068       169.7527     0.25161417
            1.8      154.96549      0.2127875      131.68427     0.17824004      183.25536     0.26078188
              2      170.05189     0.22284942      144.42258     0.18635699      201.28393     0.27324821
            2.2      189.40032     0.23480991      160.75992     0.19617818      224.41422     0.28800044
            2.4      213.31942     0.24893496      181.05207     0.20800343      252.79792     0.30625167
            2.6      241.05675     0.26418262      204.55087     0.22048885      285.75801     0.32546118
            2.8      270.17968     0.27939077      229.14387     0.23284561      320.48474     0.34500525
              3      203.02664     0.24504157      172.20516     0.20696051      240.78328     0.30840489
            3.2      203.02664     0.24504157      172.20516     0.20696051      240.78328     0.30840489
