# ptHiggs+top+t        central        num_err    min (scale)        num_err    max (scale)        num_err
# bar
            660    0.016801454  0.00031475429    0.013972664  0.00025927636    0.020393481  0.00039123357
            670    0.015996487  0.00030665555      0.0132717  0.00025211872    0.019470933  0.00038140498
            680    0.015386592  0.00029918909    0.012820695   0.0002470453    0.018637836   0.0003741656
            690    0.013914016  0.00028738339    0.011627361   0.0002374362    0.016767213  0.00035783466
            700    0.013538059  0.00028103738    0.011232781  0.00023118189    0.016479667  0.00034992554
            710    0.012509905  0.00027302288    0.010423541  0.00022521618    0.015147203  0.00033881102
            720    0.012148446  0.00026664052    0.010093862  0.00021953437    0.014760778  0.00033142899
            730    0.011188935  0.00025675779   0.0092473203  0.00021004171    0.013686258  0.00032142726
            740    0.010383008  0.00024814953   0.0086651786  0.00020497933    0.012547592  0.00030778417
            750   0.0095729748  0.00023879808   0.0079719634  0.00019678223    0.011598372  0.00029977944
            760   0.0096042665  0.00023613961   0.0079810615  0.00019483509    0.011663097  0.00029240694
            770   0.0088173575  0.00022863973   0.0073294658  0.00018806578    0.010706145  0.00028477312
            780   0.0081107655  0.00021892365   0.0067352568  0.00018066506   0.0098657676  0.00027374954
            790   0.0076052737  0.00021157088   0.0063240842  0.00017455249   0.0092337899  0.00026187606
            800   0.0070076837  0.00020578915   0.0058476723  0.00016985834   0.0084642857  0.00025671033
            810   0.0068165819   0.0002029028   0.0056666766   0.0001666776   0.0082735809  0.00025257447
            820   0.0062899262  0.00019332962   0.0052817164  0.00016152776   0.0075354633   0.0002447619
            830   0.0059971298  0.00018834819   0.0049674124  0.00015445602   0.0073146133  0.00023508043
            840   0.0056245319  0.00018295628   0.0046720323   0.0001502153   0.0068349442   0.0002291299
            850   0.0055223256  0.00018165529   0.0045837791  0.00014913345   0.0067189393  0.00022621485
            860   0.0049225699  0.00017216033    0.004082556  0.00014114807   0.0059905084  0.00021503482
            870   0.0047412082  0.00016780082   0.0039427659  0.00013805012   0.0057532413  0.00020913157
            880    0.004499598  0.00016165304   0.0037335586   0.0001327857    0.005474839  0.00020200296
            890   0.0040608961  0.00015797584    0.003374348  0.00012963668   0.0049353346  0.00019736175
            900   0.0036078512  0.00014779294   0.0030088407  0.00012175495   0.0043576927  0.00018465109
            910   0.0034549881  0.00014563076   0.0029132573  0.00012081398   0.0041132321  0.00018048462
            920   0.0035380281  0.00014508099   0.0029395769  0.00011929429   0.0042993975  0.00018069537
            930   0.0036241001   0.0001513138   0.0030228582  0.00012390906   0.0043795464  0.00018997149
            940   0.0031337645   0.0001372403   0.0026023659    0.000112687   0.0038115918  0.00017080225
            950   0.0027832742  0.00013102369   0.0023282786  0.00010788658   0.0033502919  0.00016279297
            960   0.0030038119  0.00013410679   0.0024937804  0.00010975148   0.0036517365  0.00016858483
            970   0.0028276676  0.00012900105   0.0023493288  0.00010611047   0.0034380997  0.00016071628
            980   0.0024281048  0.00011932964   0.0020387479  0.00010157797   0.0029010587   0.0001647603
            990   0.0022530722  0.00011525297    0.001858613  9.4173207e-05   0.0027590439  0.00014474042
           1000   0.0022530722  0.00011525297    0.001858613  9.4173207e-05   0.0027590439  0.00014474042
