# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      8.7534921    0.049611931      7.7659492    0.043678509       9.702131      0.0566036
            0.2      24.850595    0.083422529      22.019587    0.073292879      27.588429     0.09493687
            0.4      37.731504      0.1026165      33.440292    0.090195374      41.855774     0.11706295
            0.6      46.921837     0.11429535      41.537835     0.10033265      52.103399     0.13048795
            0.8      53.403797     0.12192544      47.244685     0.10695594      59.327524     0.13959134
              1      57.277326     0.12643174      50.667661     0.11085194      63.606714     0.14504542
            1.2      61.358999     0.13076357      54.221631     0.11456706      68.216889     0.15012224
            1.4      66.076394     0.13568334      58.386396      0.1187589      73.452789     0.15572796
            1.6      72.874304     0.14235027      64.415525      0.1246446      80.952061     0.16321294
            1.8      83.395653     0.15233389      73.811841     0.13346352      92.460887     0.17467161
              2      99.591422     0.16635621      88.214211     0.14590906      110.29102     0.19122357
            2.2      126.11909     0.18676377       111.8372      0.1638773      139.45047     0.21463921
            2.4      171.34125     0.21682524      152.17998     0.19025029      189.01846      0.2492847
            2.6      253.72087     0.26258702      225.96086     0.23100289      278.85685     0.30437984
            2.8      436.86374     0.33866524      390.81161      0.2978807      477.33289     0.39515347
              3      772.74043     0.44906575      701.21894     0.39205882      828.78808     0.53240569
            3.2      179.91059     0.24400162      163.51478     0.21249152       192.0982     0.28826943
            3.4      37.042204     0.11509181      33.536171    0.099236727      39.636655     0.13708569
            3.6      9.1501097    0.058536132      8.2695068    0.050015586      9.7882491    0.070578105
            3.8      2.3784808    0.030625558      2.1624523     0.02636312      2.5129754    0.038115645
              4     0.63171954    0.016473999     0.57712533    0.013874892     0.66031102    0.020409016
            4.2     0.19426848   0.0088941775     0.17385255    0.007430914     0.21024667    0.011147898
            4.4     0.05206465   0.0047666359     0.04835579   0.0040509421    0.053800178   0.0050767486
            4.6    0.015502609   0.0023646836     0.01322155   0.0019276866    0.017933199   0.0030292645
            4.8   0.0034158291   0.0012600764   0.0031102777   0.0010451571   0.0035307248   0.0015784538
              5   0.0034158291   0.0012600764   0.0031102777   0.0010451571   0.0035307248   0.0015784538
