# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0      4.4374487    0.035379733      3.9308227    0.031104315      4.9282633      0.0404041
            0.2      12.774185     0.05992149       11.31137    0.052617495      14.192606    0.068360986
            0.4      20.341182    0.075607208      18.012038    0.066404461      22.596018    0.086313457
            0.6       27.02187    0.087021538      23.901927    0.076354993      30.055061    0.099379387
            0.8      33.064248    0.096081892      29.250678    0.084317522      36.754115     0.10983505
              1      38.469939     0.10370907      34.013607    0.090933663      42.787888     0.11848951
            1.2      44.160913     0.11104035      39.049465    0.097318337      49.092364     0.12691433
            1.4       50.46349     0.11856543      44.631694     0.10404838      56.063642     0.13594153
            1.6      57.984985     0.12702408      51.272857     0.11131504      64.432471     0.14536308
            1.8      67.402678     0.13691517      59.647838     0.12004843      74.796351     0.15687952
              2      80.661397     0.14971852      71.417908     0.13132322      89.427463      0.1715676
            2.2      100.78847     0.16698179      89.305144     0.14654248      111.60873     0.19155327
            2.4      133.31582     0.19161534       118.2475     0.16803702      147.40598     0.21956172
            2.6      191.20268     0.22891652      169.99785     0.20139497      210.69683     0.26461303
            2.8      316.03248     0.29133211      282.13304     0.25661754      346.31937     0.33867268
              3       581.1848     0.39468099      525.54103     0.34601027      626.36393     0.46201699
            3.2      326.20965     0.31161939       295.6264     0.27300414      350.40579     0.36383472
            3.4      181.29039     0.23705412      163.82302     0.20833303      195.32386     0.28049261
            3.6      109.85835     0.18660421      99.008233     0.16316312      118.69653     0.21895511
            3.8      69.856102     0.14950392      62.776457     0.13041532      75.712682     0.17594419
              4      45.820488     0.12133591      41.070827     0.10545874      49.817268     0.14233972
            4.2      31.154796      0.1001949      27.850383    0.086873891      33.978924      0.1177161
            4.4      21.828665    0.083676624       19.46551    0.072466134      23.883877    0.098258595
            4.6      15.412021    0.070323595      13.726683    0.060866771      16.882335    0.082720202
            4.8       11.19655    0.059809703      9.9591141    0.051876774      12.286964    0.070825186
              5       11.19655    0.059809703      9.9591141    0.051876774      12.286964    0.070825186
