#       dyttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      1.3335655     0.02068253      1.0683682    0.016418515      1.6563802    0.026551595
           -3.8      1.9675657    0.024082228      1.5851202    0.019184834      2.4305795    0.030771141
           -3.6      2.8731182    0.028493567      2.3237793     0.02286907      3.5383181    0.036175869
           -3.4      4.1815879    0.034168958      3.4120934    0.027668977      5.1002131    0.043049962
           -3.2      5.9767853    0.040745891      4.9186958    0.033483783      7.2200729    0.051374263
             -3      8.5442429    0.048646581      7.0723897    0.040051422      10.266584     0.06035248
           -2.8      12.095276    0.057772962      10.079585    0.048393188      14.429936    0.072901469
           -2.6      16.982489    0.068283908      14.261972    0.057133041      20.090076    0.083965984
           -2.4      24.391954    0.081603336      20.616978    0.071500058      28.653652      0.1089692
           -2.2      34.262496    0.096411873      29.159055    0.081780845      39.953828     0.11620248
             -2      47.485424     0.11304372      40.695242    0.096561148      54.941598     0.13469645
           -1.8      64.243526     0.13112114      55.438754     0.11322774      73.730213     0.15646424
           -1.6      84.385527      0.1498651      73.300963     0.12988072      96.098197     0.17637311
           -1.4      107.19374     0.16849974      93.734095     0.14686041      121.08523     0.19614012
           -1.2      131.98888     0.18694312      116.13009     0.16442119      147.95812      0.2181372
             -1      155.42522     0.20265058      137.54547     0.17849859      172.96493     0.23294431
           -0.8      177.09291     0.21574076      157.66534     0.19150596      195.52125     0.24786143
           -0.6      192.55628     0.22580676       172.2894     0.20045873      211.16458      0.2565806
           -0.4      200.90777     0.23156587      180.74142     0.20629036      218.63763     0.26193055
           -0.2      200.76138     0.23370746      181.47114     0.20861545      216.95066     0.26416284
              0      193.44585     0.23301244      175.67899     0.20767098       207.5139     0.26300263
            0.2      177.98072      0.2287558      162.44285     0.20434417       189.3338     0.26226781
            0.4      157.82737     0.22113616      144.60287     0.19604211      166.74181     0.25227031
            0.6      134.76407     0.21008971      123.79931     0.18528193      141.58067     0.24121048
            0.8       111.6516     0.19635504      102.75927     0.17282859       116.7576     0.22836289
              1      88.931591      0.1798856      81.863926     0.15676895      92.772724     0.20983824
            1.2      68.871149     0.16198326      63.315688     0.14005838      71.823564     0.18992192
            1.4      51.948695     0.14337623      47.642024     0.12328733      54.243257     0.17001226
            1.6      38.407901     0.12521827       35.06043     0.10680007      40.280259     0.14938148
            1.8      27.821856      0.1077087      25.254313    0.091198819      29.356295     0.12970798
              2      20.189966    0.091600714      18.128038    0.076961651      21.614058     0.11104426
            2.2      14.674846    0.077728412      13.030587    0.065217112       15.94091    0.095806452
            2.4      10.688552    0.065441222      9.3699126    0.054199457      11.803322    0.080767259
            2.6      7.8634516    0.055127106      6.8065774    0.045973996       8.826237    0.070412604
            2.8      5.8016068    0.046584904      4.9500666     0.03801503      6.6392426    0.058179487
              3      4.3348181    0.039289889      3.6442075    0.031838149      5.0598878    0.049426056
            3.2      3.1713375     0.03289827      2.6363622    0.026518875      3.7530215    0.041512467
            3.4      2.3081796    0.027650341      1.9027237    0.022193419       2.757757    0.035118431
            3.6      1.6945253    0.023715566      1.3817501    0.018908906      2.0530537    0.030284705
            3.8      1.1392443    0.020240869     0.91874397    0.015944864      1.3987123    0.026094068
              4      1.1392443    0.020240869     0.91874397    0.015944864      1.3987123    0.026094068
