#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      50.364225     0.12115313      44.215385      0.1054437       56.86195     0.14322635
            0.2      50.902327     0.12180346      44.711038     0.10556813      57.419672     0.14254263
            0.4      52.750972     0.12417419       46.43869     0.10780969      59.304596      0.1453172
            0.6      55.420932     0.12736263      48.836474     0.11055656      62.213083     0.14869534
            0.8       59.47672      0.1322861      52.496528     0.11488053      66.589297     0.15424869
              1      65.323579     0.13860445      57.761059     0.12084021      72.931798     0.16204462
            1.2      73.722593     0.14744358      65.296128     0.12835116      82.082336     0.17146077
            1.4      85.812639     0.15901701      76.177657     0.13869682      95.194676      0.1848133
            1.6      102.16946     0.17346379      90.865382     0.15131669      112.97667     0.20111279
            1.8      126.35205     0.19245634      112.61445     0.16839063      139.20392      0.2235383
              2      160.25908     0.21602323      143.10882     0.18885888      175.93375     0.24950617
            2.2      208.90847     0.24521482       187.0779     0.21562373      228.17579     0.28574918
            2.4      277.93713      0.2805079      249.48071     0.24599066       302.2308     0.32406232
            2.6      370.95877     0.32034136       333.9655     0.28209915      401.15196     0.37405986
            2.8      476.59261     0.35895946      430.31192     0.31537716      512.60001     0.41778496
              3      385.44856     0.32916395        348.676     0.28981171      413.11606      0.3841683
            3.2      385.44856     0.32916395        348.676     0.28981171      413.11606      0.3841683
