#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      127.93674     0.19390811      114.68749     0.17037105      139.16398     0.22444518
            0.2      126.89236     0.19301103      113.71993      0.1698081      138.11354     0.22401467
            0.4      125.30261     0.19169494      112.24877     0.16815835      136.50086     0.22117786
            0.6      124.00316     0.19063757      111.13492      0.1693038      135.01216     0.22691557
            0.8      123.84938      0.1909151      110.86648     0.16745438      135.14076     0.22085418
              1      126.06088     0.19207398      112.85542     0.16880104      137.58071     0.22233448
            1.2      129.13336      0.1944965       115.6163     0.17057513      140.96001      0.2242823
            1.4      134.74145     0.19868988      120.60066     0.17426449      147.18255     0.22983358
            1.6      143.29628     0.20469778      128.26643     0.18072443      156.55738     0.24045965
            1.8      154.76784     0.21257029      138.53949     0.18628449      169.13321     0.24548663
              2      169.94714     0.22270959      152.19147     0.19538929      185.63818     0.25840082
            2.2      189.35972     0.23475561       169.5737     0.20575538      206.88187      0.2721864
            2.4      213.15335     0.24883727      191.03198     0.21798631      232.62251      0.2888358
            2.6       241.3503     0.26407357      216.49859     0.23130144      263.02992     0.30652979
            2.8      269.79815     0.27925503      242.09916     0.24410549      293.84967     0.32445142
              3      202.80739      0.2449198      182.10287     0.21435408      220.61906      0.2845735
            3.2      202.80739      0.2449198      182.10287     0.21435408      220.61906      0.2845735
