# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      128.53445     0.19437281      115.22959      0.1704541      139.80274     0.22383146
            0.2      127.51266     0.19440303      114.26656     0.17048954      138.82089     0.22495377
            0.4      125.83513     0.19202127      112.74134     0.16852921      137.05348     0.22157824
            0.6       124.6684     0.19115035        111.623     0.16758755      135.96638     0.22017199
            0.8      124.50998     0.19101409      111.51224     0.16768875      135.77485     0.22042321
              1      126.27522     0.19234998      113.04398      0.1687841      137.83257     0.22205235
            1.2      129.14657     0.19466408      115.61971     0.17094543      140.98048     0.22559282
            1.4      135.29606     0.19884176      121.04535     0.17427569      147.89316      0.2292894
            1.6      143.52222     0.20491662      128.46484     0.17990916      156.80627     0.23737725
            1.8      154.64542     0.21256869      138.42068     0.18621096      169.01235      0.2453625
              2      169.21234     0.22225593      151.59793     0.19598279      184.70532     0.26084203
            2.2      188.64063     0.23439088      168.99322     0.20550194      205.98303     0.27187984
            2.4      212.33122     0.24861274      190.28946     0.21769365      231.72942     0.28881438
            2.6      241.12172      0.2638119      216.29641     0.23164074      262.77009     0.30812445
            2.8      269.05001     0.27853237      241.46687     0.24502341      292.92624     0.32845416
              3      202.09808      0.2442773      181.42247     0.21377269       219.9291     0.28385695
            3.2      202.09808      0.2442773      181.42247     0.21377269       219.9291     0.28385695
