# massHiggs+top        central        num_err    min (scale)        num_err    max (scale)        num_err
# +tbar
            680      1.2088676   0.0038063187       1.086641   0.0033837062       1.316218   0.0044134553
            685      1.1881038   0.0037864522      1.0682432    0.003337535      1.2927453   0.0043157361
            690      1.1615782   0.0037455102      1.0441095   0.0032976285      1.2641625   0.0042691197
            695      1.1483839   0.0037210847      1.0326754    0.003298236      1.2488474   0.0042942408
            700      1.1297017   0.0036990215      1.0160034   0.0032586318      1.2279682   0.0042181622
            705      1.1124594   0.0036642433      0.9994142   0.0032262571      1.2109619    0.004177871
            710       1.084293   0.0036273321     0.97446507   0.0031926814      1.1793913   0.0041355737
            715       1.061844   0.0035943819     0.95513542    0.003168951      1.1532299   0.0041160066
            720      1.0513249   0.0035764131     0.94512617   0.0031492253      1.1426355   0.0040800262
            725      1.0292835   0.0035391126     0.92513654   0.0031134282      1.1187086   0.0040416855
            730      1.0119004   0.0035096771      0.9097448   0.0030887216      1.0992146   0.0040045027
            735     0.98958389   0.0034731958     0.88964923   0.0030586017      1.0749632   0.0039723123
            740     0.96999547   0.0034416196     0.87207056   0.0030315059      1.0532259   0.0039347719
            745      0.9459882   0.0034056188     0.85095467   0.0029959981      1.0263155   0.0038946479
            750     0.92198154   0.0033697153     0.82945406   0.0029632122     0.99986635   0.0038551619
            755      0.9021874   0.0033310422     0.81258463   0.0029576931     0.97633498   0.0038615245
            760     0.88592172   0.0033053297     0.79719951   0.0029078411     0.96006983   0.0037809367
            765     0.86622802   0.0032707085       0.779687   0.0028764367     0.93802201   0.0037414302
            770     0.85269927   0.0032402359     0.76670793   0.0028511568     0.92467777   0.0037124573
            775     0.83326997   0.0032157284     0.74941237   0.0028246906     0.90327712   0.0036815211
            780     0.80785121    0.003165179     0.72677088   0.0027806971     0.87517233   0.0036282698
            785      0.7952837   0.0031426534      0.7152398   0.0027612789     0.86170319   0.0036113739
            790     0.77802595   0.0031090366     0.69973227    0.002729522     0.84297862   0.0035637864
            795     0.76313304    0.003075797     0.68642701   0.0027038891     0.82643637   0.0035304653
            800      0.7406494   0.0030423215      0.6666808   0.0026738382     0.80102878   0.0035031665
            805     0.73039496   0.0030103471     0.65648891   0.0026513543      0.7916837   0.0034740907
            810     0.71652207    0.002988828     0.64418191   0.0026227223     0.77615036    0.003428623
            815     0.70067101   0.0029560819     0.63047846   0.0025951429     0.75788148   0.0033925174
            820     0.68783896   0.0029323147     0.61909381   0.0025740697     0.74352691   0.0033646054
            825     0.67030524   0.0028953467     0.60273071   0.0025425269     0.72555897   0.0033341387
            830     0.65740126   0.0028674159     0.59116283   0.0025168648     0.71139775   0.0032990891
            835     0.64326972    0.002836363     0.57812276   0.0024869455     0.69661403   0.0032623681
            840     0.62321894   0.0027974352      0.5605019   0.0024530205     0.67409148   0.0032198288
            845     0.61110751   0.0027715754     0.54980302   0.0024417516     0.66046032   0.0032138357
            850     0.59942489   0.0027393991     0.53906155   0.0024039969     0.64821277   0.0031619773
            855     0.58648899   0.0027235145     0.52750578   0.0023860914     0.63392367   0.0031369761
            860     0.57351682   0.0026920348     0.51582826   0.0023582707     0.61974305   0.0030984547
            865     0.55738058   0.0026536087     0.50133987   0.0023520913     0.60239913   0.0031159459
            870     0.55097302   0.0026357558     0.49548268   0.0023118189     0.59554064   0.0030447308
            875     0.53064852   0.0025976649     0.47756271   0.0022769994     0.57273533   0.0030035611
            880     0.52298081   0.0025705024     0.47010758   0.0022511842      0.5653432   0.0029672023
            885     0.51500983   0.0025531026     0.46300826   0.0022374915     0.55650105   0.0029555666
            890     0.49868325   0.0025181464     0.44876629   0.0022651968      0.5379521   0.0030816935
            895     0.49291785   0.0025012189     0.44301668   0.0021880299      0.5326392   0.0028936809
            900     0.47895353   0.0024616934      0.4311698   0.0021674109     0.51625697   0.0028649967
            905     0.46685452   0.0024345077     0.41959259   0.0021374244     0.50438788   0.0028400821
            910     0.45813108   0.0024139883     0.41166437    0.002109934     0.49515296   0.0027928456
            915     0.45134664   0.0023974713     0.40560132   0.0020959394      0.4874639   0.0027772955
            920     0.44046776   0.0023666676      0.3960157   0.0020711339     0.47539093   0.0027459258
            925     0.42964202   0.0023449806     0.38608404   0.0020493255     0.46399872   0.0027164919
            930      0.4176399   0.0023130371     0.37544005   0.0020238179     0.45074803   0.0026925245
            935     0.41259559   0.0022941485     0.37102959   0.0020062641      0.4448507   0.0026563948
            940     0.39891905   0.0022632909     0.35852181   0.0019810844     0.43041165   0.0026399709
            945     0.39290264    0.002240455      0.3534817   0.0019772646     0.42326919   0.0026398297
            950     0.38735018   0.0022251086     0.34794932   0.0019453345     0.41818987   0.0025919135
            955     0.37729334   0.0021961079      0.3387738   0.0019271775     0.40757278   0.0025823142
            960     0.36960415   0.0021774948     0.33211029   0.0019095188     0.39876355   0.0025571076
            965     0.35995596    0.002152908     0.32319153   0.0018779773     0.38881775   0.0025087195
            970     0.35283579   0.0021277899     0.31685379   0.0018681639     0.38098491   0.0024996284
            975     0.34995574   0.0021166732      0.3139319   0.0018465426     0.37835975   0.0024627587
            980     0.33967492   0.0020924875     0.30494148   0.0018324957     0.36673567   0.0024783284
            985     0.33246619   0.0020706429     0.29829938   0.0018066294     0.35933342   0.0024264677
            990     0.32212256   0.0020382043     0.28882622   0.0017755302     0.34838679   0.0023782187
            995     0.31696059   0.0020206761     0.28452996    0.001761873     0.34214041   0.0023665111
           1000     0.31696059   0.0020206761     0.28452996    0.001761873     0.34214041   0.0023665111
