# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      15.193346    0.068194311      13.682025    0.059965686      16.397951    0.078337953
            0.2      43.542113     0.11473444      39.191094     0.10112381      47.048011     0.13220284
            0.4      66.896635     0.14145249      60.220389     0.12478879      72.302187     0.16295335
            0.6      85.018845     0.15881195      76.456768     0.14004957      92.061481     0.18322757
            0.8      99.208034     0.17095469      89.148675     0.15120752      107.60414      0.1985803
              1      110.43797     0.18007266       99.17271     0.15876821      119.96698     0.20771895
            1.2      120.10606     0.18794866      107.82397     0.16540557      130.56893     0.21663854
            1.4      129.54308     0.19447419      116.22915     0.17098789      140.99761     0.22357028
            1.6       139.0573     0.20136778      124.74842     0.17791792      151.42343     0.23491108
            1.8      150.28233     0.20919276      134.79799     0.18410146      163.73656     0.24193399
              2      164.37007     0.21851351      147.46114     0.19211996      179.08513     0.25263018
            2.2      181.32732     0.22920882      162.70716     0.20128032      197.55451     0.26410887
            2.4      202.49906     0.24190797      181.73015     0.21251565      220.60332     0.28006267
            2.6      228.30939      0.2563488      205.03603     0.22600492      248.48513     0.30005466
            2.8      257.34055      0.2720334      231.18668     0.23837102      279.92763      0.3146148
              3      261.30119     0.27420635      234.73457     0.24030355       284.1704     0.31782365
            3.2      129.46885     0.19754777      115.57538     0.17236684      141.90389     0.23121381
            3.4      74.002203     0.15062381      65.650409     0.13085111      81.750648      0.1776392
            3.6      46.511323     0.12017082      41.031452     0.10359053      51.749974     0.14205839
            3.8      30.715284    0.098009059      26.972322    0.084040586      34.380206     0.11619571
              4      20.812704    0.080899022       18.21245    0.069189784      23.393857    0.096306905
            4.2      14.176568    0.066940222      12.369963    0.057160691      15.991427    0.080270465
            4.4      9.7367572    0.055556486       8.459624     0.04723308      11.050524    0.066698418
            4.6      6.7648275    0.046491335      5.8547383    0.039325386       7.713921    0.055940674
            4.8      4.8103632     0.03893157      4.1592102    0.033328123      5.4911887    0.047731577
              5      4.8103632     0.03893157      4.1592102    0.033328123      5.4911887    0.047731577
