#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.8476894    0.013461589      2.7009202    0.009647433      5.6388489    0.019344566
            0.2      3.9636633    0.013459072      2.7861033   0.0096381786      5.8011417     0.01935595
            0.4      4.1489595     0.01361363      2.9200317   0.0097417967       6.064723    0.019592373
            0.6      4.5075304     0.01401242      3.1762938    0.010022342      6.5805449    0.020174883
            0.8       5.007461    0.014621039      3.5323701    0.010452629      7.3026047    0.021061339
              1      5.6749033    0.015418747      4.0077976    0.011022579      8.2659754    0.022208376
            1.2      6.6722797    0.016575536      4.7181771    0.011848759      9.7057097    0.023874281
            1.4      8.2080115    0.018159353      5.8117559    0.012979329      11.923163     0.02615594
            1.6      10.436659    0.020235265       7.398721    0.014459926      15.141298    0.029149353
            1.8      13.747464    0.022909034      9.7570394    0.016368394      19.920034    0.033001355
              2      18.891566     0.02646452      13.420217    0.018905819      27.498695    0.054832475
            2.2      27.141646    0.031126765      19.297926    0.022230403      41.619789    0.065566378
            2.4      40.400333     0.03705399      28.742466    0.026454544      64.750885    0.079356959
            2.6      61.448882    0.044131525      43.733692    0.031497366      101.52851    0.092283691
            2.8      91.453408    0.051258373      65.096453    0.036568408      153.94321     0.10596278
              3      81.918602    0.049120067      58.301905    0.035023055      138.69559    0.097744345
            3.2      81.918602    0.049120067      58.301905    0.035023055      138.69559    0.097744345
