#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.1413539    0.010710661       2.240664   0.0076510405      5.6227956    0.022925579
            0.2      8.8222637    0.017802587      6.2933597    0.012719339      15.416637    0.036557702
            0.4      13.041929    0.021533198      9.3017727    0.015386394      22.273142    0.044094785
            0.6      15.838903    0.023659219      11.293727    0.016903774      26.556288    0.049582853
            0.8      17.589269    0.024921064      12.536783    0.017803738      28.952262    0.049716467
              1      18.572225    0.025612539      13.230982    0.018292816      30.183375    0.052867997
            1.2      19.412437    0.026196144      13.825465    0.018707128       31.30992    0.054673398
            1.4      20.251066     0.02677892      14.416501    0.019120471      32.476854    0.051426714
            1.6      21.320785    0.027500671      15.174299    0.019636724      34.083703    0.053128099
            1.8      22.786645    0.028452663      16.214021     0.02031962      36.390686    0.060434008
              2      24.868332    0.029724647      17.690968    0.021230029      39.587662     0.05617772
            2.2      27.749914    0.031400204      19.735558    0.022432789      43.981396    0.059792293
            2.4      31.503927     0.03342113      22.398862    0.023883043      49.534631      0.0640866
            2.6      36.326845    0.035816732      25.817778    0.025600831      56.068034    0.067274299
            2.8      42.062223    0.038413649      29.878333    0.027460238      62.505962    0.069462685
              3      42.132498    0.038587751      29.894592    0.027567268      61.073395    0.055602752
            3.2      13.479669    0.022517617      9.4988191    0.015951094      19.699668    0.032771224
            3.4      4.8869316    0.013739417      3.4168936    0.009639891      7.2083866    0.020223347
            3.6      2.0440491   0.0090334372      1.4190804   0.0062833866      3.0403551    0.013432514
            3.8     0.90063488   0.0061134222      0.6209706   0.0042166237      1.3505003   0.0091804358
              4     0.40464678   0.0041649133     0.27722394   0.0028531907     0.61134044   0.0063047775
            4.2      0.1849544   0.0028620582     0.12587763   0.0019463385     0.28158332   0.0043697046
            4.4    0.081608502   0.0019408964    0.055218844   0.0013108071     0.12769543   0.0066131389
            4.6    0.036958712   0.0013168911    0.024812338  0.00088187647    0.057157292   0.0020460868
            4.8    0.017422538  0.00093586528    0.011664375  0.00062460641    0.027040217   0.0014605585
              5    0.017422538  0.00093586528    0.011664375  0.00062460641    0.027040217   0.0014605585
