#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      17.361708    0.024769112      12.353374    0.017658596      28.648332    0.051067863
            0.2      17.161541    0.024623631      12.211597    0.017556986      28.166058    0.049942906
            0.4       17.01759    0.024534778      12.109293    0.017495978       27.86207     0.05590325
            0.6      16.918895    0.024495116      12.038829    0.017470617      27.555575    0.054866272
            0.8      17.028036    0.024584515      12.116387     0.01753623      27.709834    0.053679364
              1      17.406332     0.02488232       12.38579    0.017751356      28.190469    0.051421662
            1.2      18.067299    0.025360718      12.854358    0.018094317      29.257072    0.051502415
            1.4      19.108259    0.026107282      13.594144    0.018630843      30.881732      0.0522414
            1.6      20.552851    0.027092317       14.61991    0.019337177      33.158732     0.05039314
            1.8      22.551508    0.028375779      16.038431    0.020255754      36.294816    0.053997551
              2      25.141863    0.029971734      17.876779    0.021401279      40.404774    0.059920006
            2.2      28.649421    0.031948428      20.363964    0.022814123      45.624983    0.062876677
            2.4      33.054885    0.034236509      23.486133    0.024451659      51.795832    0.069611902
            2.6      38.605245    0.036881553       27.41545    0.026341687      58.909343    0.066644776
            2.8      44.580095    0.039526118      31.635923    0.028230731      64.613021    0.056973471
              3      34.263531    0.035240927      24.301505    0.025166472      49.689905    0.050805485
            3.2      34.263531    0.035240927      24.301505    0.025166472      49.689905    0.050805485
