#         ytbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4  0.00010695963  6.1750085e-05  7.2361546e-05  4.1779296e-05  0.00020454427  0.00011838047
           -3.8   0.0011409028  0.00025209417  0.00075450217  0.00017006785   0.0018117188  0.00039243164
           -3.6    0.010543202   0.0006823836   0.0071095426  0.00046287959    0.016336472   0.0010557022
           -3.4    0.035641477   0.0012645449    0.024128986  0.00085950014     0.06027644   0.0040669847
           -3.2     0.11745858   0.0022535283    0.080053697   0.0015402258     0.18304324   0.0045110935
             -3     0.30383338   0.0035888714     0.20865732   0.0024724712     0.47527836   0.0085315548
           -2.8     0.66402334   0.0052480211     0.45882063   0.0036445943      1.0756688    0.011567147
           -2.6      1.3092113   0.0073327502     0.91013016   0.0051266947      2.1374097    0.016793458
           -2.4      2.3328255   0.0096794475      1.6305071   0.0068048367      3.8322322    0.024314841
           -2.2      3.7636705    0.012224893      2.6422159   0.0086333233      6.1266494    0.026607404
             -2       5.737489    0.014955802       4.043669    0.010598934        9.17992    0.038309617
           -1.8      8.1859923     0.01771612      5.7878517    0.012593072      12.950407    0.040144765
           -1.6      11.133874     0.02045217      7.8906341    0.014566447      17.533337    0.042014649
           -1.4      14.322505    0.023019741      10.169806    0.016422101      22.333869    0.049936124
           -1.2      17.642692    0.025343213      12.544711    0.018098648      27.437966    0.051917601
             -1      20.903308    0.027391818      14.877936    0.019576509      32.287839    0.054805138
           -0.8      23.860738    0.029108153      16.992144     0.02081259      36.795923    0.056580261
           -0.6      26.357416    0.030441505      18.777765    0.021770771      40.567739    0.059352111
           -0.4      28.101873    0.031328296      20.025729     0.02240832      43.178613    0.064216609
           -0.2      28.989413    0.031761875      20.659187    0.022717945      44.538753     0.06771638
              0      29.020085    0.031777752      20.680868    0.022729348      44.573009    0.063539619
            0.2      28.046139     0.03130846      19.985341    0.022394885      43.118275    0.060271624
            0.4      26.358823    0.030444719      18.778591    0.021773522      40.657044    0.060400263
            0.6      23.818389    0.029086544       16.96166    0.020796949      36.763192    0.062743035
            0.8      20.919312    0.027405204      14.888576    0.019585686      32.494209    0.058324757
              1      17.598989     0.02533837      12.512596    0.018096821      27.475386    0.053666235
            1.2      14.309208    0.023007646      10.159947    0.016412909      22.578126    0.050337752
            1.4      11.112571    0.020450873      7.8750944    0.014566315      17.649925    0.041354832
            1.6      8.2104514    0.017716873      5.8043178    0.012592252      13.166823    0.035142317
            1.8       5.763729    0.014989536      4.0613933    0.010622648      9.4125538    0.031280293
              2      3.7910752    0.012260537      2.6617591   0.0086590419      6.3057966    0.027006419
            2.2      2.3050288   0.0096415304      1.6102515   0.0067754542      3.8918776    0.022308968
            2.4      1.3080394   0.0073120924     0.90909161   0.0051097752      2.2298991    0.023556624
            2.6     0.66222126   0.0052379758     0.45771765   0.0036402413      1.1349632    0.011836366
            2.8     0.30236637   0.0035575156     0.20769235   0.0024521832     0.52887779   0.0087189284
              3     0.12190822   0.0022594069    0.083208457   0.0015456419     0.18547788    0.003441763
            3.2    0.035737195   0.0012498822    0.024272482  0.00085106217    0.058926825    0.002309926
            3.4    0.009767735  0.00068882907   0.0066148598  0.00046503006    0.017915957   0.0020449779
            3.6    0.001354822  0.00025209316  0.00091787718  0.00017062707   0.0025479628  0.00040599361
            3.8  0.00014261284  8.7327807e-05  9.7448786e-05  6.0097192e-05   0.0002231671  0.00011509715
              4  0.00014261284  8.7327807e-05  9.7448786e-05  6.0097192e-05   0.0002231671  0.00011509715
