# massHiggs+top        central        num_err    min (scale)        num_err    max (scale)        num_err
# +tbar
            675     0.16954236  0.00050117686     0.12094714  0.00035861536     0.27256098   0.0010881107
            680     0.16788331  0.00049844834      0.1197462  0.00035658993     0.27118439   0.0010277458
            685     0.16531004  0.00049422113     0.11791061  0.00035350769     0.26593187   0.0010282767
            690     0.16332589  0.00049109085     0.11647311  0.00035119172     0.26498991   0.0014360417
            695     0.16034777  0.00048652673     0.11433818  0.00034785981     0.25736604   0.0016899548
            700     0.15952147  0.00048474936      0.1137424  0.00034651476     0.25604097   0.0012959186
            705     0.15656007  0.00048017937     0.11163591  0.00034324325     0.25249087   0.0011202948
            710     0.15477337  0.00047660652     0.11035776  0.00034060777      0.2502191  0.00094943495
            715     0.15292633  0.00047368662     0.10903125  0.00033847446     0.24652281   0.0011002167
            720     0.15045303  0.00046965376     0.10725579  0.00033552832     0.24300954  0.00099791665
            725     0.14677259  0.00046438135     0.10461403  0.00033171692      0.2382318   0.0010278138
            730     0.14541778  0.00046149298     0.10364276  0.00032957899     0.23591587  0.00095648334
            735     0.14350955  0.00045842635     0.10227609  0.00032734262     0.23255612   0.0011076284
            740     0.14022061  0.00045301381    0.099923368  0.00032343637     0.22681517    0.001112983
            745     0.13834955  0.00044989751     0.09858573  0.00032117536     0.22505917   0.0010426137
            750     0.13630274   0.0004461157    0.097125082  0.00031842664     0.22012417  0.00091955557
            755     0.13320438  0.00044123945    0.094889911  0.00031486002     0.21481696  0.00096551508
            760     0.13121207  0.00043806376    0.093482718  0.00031263701     0.21147505  0.00096551253
            765     0.12846794  0.00043335822    0.091508523  0.00030918648     0.20880235  0.00095166694
            770     0.12704256   0.0004308439     0.09048188  0.00030733337     0.20509981  0.00099317934
            775     0.12509533  0.00042710313    0.089095619  0.00030464347     0.20078586   0.0010700547
            780     0.12225506  0.00042199573    0.087068351  0.00030096263     0.19653492  0.00094512563
            785     0.12034287  0.00041916187    0.085684907  0.00029889055     0.19466472   0.0010288571
            790     0.11827917   0.0004150537    0.084213812  0.00029590761     0.19218835   0.0009919431
            795     0.11637993  0.00041160729    0.082869717  0.00029345904      0.1873496   0.0010879157
