#       dyttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.31638574   0.0089373706    0.027691116   0.0026542074     0.69463778    0.015635275
           -3.8     0.81246003    0.014281294     0.49978825    0.009961414      1.1653404    0.020304963
           -3.6      1.4531072    0.019224206      1.1450383    0.015225565       1.858892    0.025865877
           -3.4      2.4601335    0.025343218      2.0431621    0.020849703      3.0101916    0.033030858
           -3.2      3.8127889    0.031829353      3.2159454    0.026572787      4.5956133    0.041013219
             -3      5.6269512     0.03920236      4.8340006     0.03326392      6.6288109    0.049789349
           -2.8      8.1735217    0.047560965      7.1203807    0.040776408      9.4376635    0.060113231
           -2.6       11.81842    0.057612996      10.454588    0.050007616       13.38828    0.072336031
           -2.4      17.133983    0.069967289      15.322093    0.061323267      19.200479    0.087437532
           -2.2      24.398804    0.083925085      22.004328    0.073968941      27.050351     0.10481354
             -2      34.005538     0.10008987      30.900471    0.089122448      37.378502     0.12452154
           -1.8      47.097403     0.11878621      43.056865     0.10627855      51.430969     0.14772803
           -1.6      62.822998     0.13790358      57.799619     0.12409398      68.133642     0.17146595
           -1.4      82.344279     0.15853191      76.016291     0.14362656      88.928725     0.19688268
           -1.2      103.96082     0.17885645      96.307548     0.16301861      111.99979     0.22182351
             -1      127.18122     0.19844544      118.19541      0.1819667      136.56442     0.24615903
           -0.8      149.44432     0.21454666      139.00864     0.19671477      160.55898     0.26704839
           -0.6      168.81465     0.22823354      157.18873     0.21012736      181.25771     0.28517455
           -0.4       183.8642     0.24002658      171.13147     0.22188699      197.57723     0.29871546
           -0.2      194.46133     0.25635616      180.32378     0.23306753      210.46129     0.32262936
              0      194.55788     0.25722755      180.58692     0.23374811      210.21063     0.32407671
            0.2      183.93255     0.23930647      171.20508     0.22068912      197.84944     0.29885162
            0.4      168.23472     0.22843976      156.75798     0.21034294      180.34997     0.28396647
            0.6      148.97551     0.21583911      138.57507      0.1982922      159.95138     0.26826722
            0.8      127.32787     0.19824296      118.28603     0.18164933      136.84133     0.24662074
              1      103.96194     0.17992317      96.372111     0.16386573      111.84106     0.22315408
            1.2      82.550708     0.15951032      76.249369     0.14441391      89.177735     0.19742582
            1.4      62.858976     0.13834181      57.821242       0.124865      68.130254     0.17160468
            1.6      46.888387     0.11834561      42.892705      0.1058672      51.115006     0.14739691
            1.8      34.068116     0.10012119       30.91813    0.088881008      37.469195     0.12482457
              2      24.152835    0.083680696      21.795413    0.073933908      26.740358     0.10449646
            2.2      16.948521    0.069599996      15.161294    0.060922492      18.945899    0.087123313
            2.4      11.821164    0.057285491      10.438624    0.049667631      13.450482    0.072118412
            2.6       8.160222    0.047467741      7.1193657    0.040652868      9.4074885    0.060086044
            2.8      5.5738931    0.038948941      4.7870479    0.033028242      6.5513119    0.049544823
              3      3.6965117    0.031562779      3.1245281    0.026369644       4.443425    0.040574222
            3.2      2.4574334    0.025172639      2.0434136    0.020667816      3.0054574    0.032962389
            3.4      1.4883798    0.019313866      1.1746884    0.015294101      1.9215629    0.026059358
            3.6     0.86998812    0.014621602     0.63711999    0.011061111       1.206518     0.02046259
            3.8     0.12903575   0.0055935298     0.12903575   0.0055935298     0.65517225    0.015262308
              4     0.12903575   0.0055935298     0.12903575   0.0055935298     0.65517225    0.015262308
