#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      4.1289072     0.03529394      3.6603012    0.030181851      4.7116955    0.046137659
           -3.8      6.1497487    0.043548555      5.5197965    0.037743094      6.9109301    0.056052627
           -3.6      8.8378582    0.052365105      7.9628807    0.045537637      9.9106724    0.067233844
           -3.4      12.668496    0.062519344      11.492112    0.055046297      14.051725    0.079861935
           -3.2      17.710517    0.074457944      16.115603    0.065811834      19.607864     0.09474973
             -3      23.895295    0.086378881      21.849611     0.07698991      26.328102      0.1094614
           -2.8      31.494057    0.098966452      28.800276    0.088589924      34.620026     0.12472733
           -2.6      40.649165     0.11272178      37.310749     0.10114856      44.465051     0.14160996
           -2.4      50.442915     0.12565284      46.425182     0.11336973      54.937111     0.15702337
           -2.2      60.704534     0.13746337      55.987351      0.1242682      65.880421     0.17131787
             -2      71.558635     0.14837684      66.042061     0.13421004      77.695755     0.18529236
           -1.8      81.223459     0.15811996      75.078849     0.14349148      87.905324     0.19658922
           -1.6       89.88503     0.16642242      83.138625     0.15129128      97.132881     0.20636588
           -1.4      96.671671     0.17272253      89.432773      0.1570341      104.37585     0.21417154
           -1.2      101.67476       0.176893      94.181811     0.16159669      109.50362     0.21851202
             -1      104.27299      0.1787811      96.607477     0.16293455      112.28847     0.22134062
           -0.8      105.17715      0.1800486      97.425075     0.16400663       113.2818     0.22269349
           -0.6      105.51839     0.17998836      97.718213     0.16419711      113.57145     0.22264354
           -0.4      104.60092     0.17946824      96.928575     0.16328156      112.48542     0.22197703
           -0.2      104.17684     0.17955806      96.511972     0.16362649      112.10454     0.22203361
              0      104.27396     0.17930735       96.58238     0.16352639       112.1889     0.22158816
            0.2      104.91773     0.17955737      97.181489     0.16344507      112.93937      0.2225299
            0.4      104.91671     0.18017836      97.170747      0.1643621      112.94341     0.22275456
            0.6       105.2312     0.17989822      97.424075     0.16331108      113.45542      0.2238805
            0.8      103.97698     0.17949877      96.260331     0.16334829      112.06852     0.22282797
              1      101.41429     0.17715465      93.917026      0.1614889      109.30594     0.22023371
            1.2      96.769233     0.17315608      89.552281     0.15736863      104.46826     0.21578803
            1.4      89.813678      0.1670533      83.049843     0.15140948      97.105878     0.20888224
            1.6      81.120759     0.15895213      74.980733     0.14384759      87.796935     0.19964757
            1.8      71.550968     0.14929101      65.988291     0.13469421      77.676929     0.18807723
              2      60.905869      0.1379744      56.109873       0.123978      66.230404     0.17441617
            2.2      50.428842     0.12605245      46.396091     0.11297246      54.964003     0.15987396
            2.4      40.431761     0.11246551      37.080843      0.1003395      44.296477     0.14303821
            2.6      31.653432     0.10011878      28.979623    0.089151769      34.712819     0.12785844
            2.8      23.607621    0.086791048      21.573701    0.076942228      25.979553     0.11161953
              3      17.479298    0.074479608      15.895025    0.065312214      19.347655    0.096420519
            3.2      12.609122    0.063454974      11.442081    0.055543498      14.004498    0.082235144
            3.4      8.9548578    0.053086858      8.0783265    0.045929669      10.024233    0.069624585
            3.6      6.0638238    0.044013219      5.4360649    0.037698915      6.8225408    0.057977049
            3.8      4.0842463    0.035701446      3.6226557       0.030203      4.6481453    0.047501877
              4      4.0842463    0.035701446      3.6226557       0.030203      4.6481453    0.047501877
