# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.9481975    0.039593196      5.9810947    0.035094126      7.8973924    0.047070879
            0.2      19.965605    0.068475956      17.229178     0.06145487      22.633891    0.080456919
            0.4      30.397221    0.084350054       26.27231    0.075511386      34.442793    0.098772313
            0.6      38.181365    0.098344581      33.086716    0.094841423      43.171227     0.10994787
            0.8      43.296214     0.10251023      37.613237    0.091086144      48.906104      0.1219008
              1      47.329194     0.19957328      41.251129     0.13985662      53.343535     0.31395489
            1.2      50.893851     0.11103469      44.623733     0.09975853      57.005904     0.13140857
            1.4      55.645391     0.12445988      49.105569     0.12090374       61.96138     0.14141396
            1.6      62.459841     0.14076872      55.546045     0.12566409       68.97722     0.18207216
            1.8       72.46611     0.14555434      65.002681     0.13234414        79.2949     0.17408044
              2      88.786973     0.16146441       80.55433     0.15200084      96.044215     0.19222991
            2.2      114.81765     0.18059173      105.26934     0.17207906      122.69894     0.21040451
            2.4      158.33169     0.24224649      146.87368     0.22334621      167.31171      0.3036915
            2.6      238.94931     0.33193749      223.90172     0.29834602      249.95596     0.43100947
            2.8      414.53078     0.39616566      392.37934     0.40619296      431.30168     0.52888433
              3       771.5206     0.57865732      737.92794     0.58828825      820.52309     0.75320556
            3.2      184.00621     0.30524112      174.76471     0.29725698      199.49179       0.384432
            3.4      37.771197     0.14279396      35.542691     0.18128783      41.589816     0.18695194
            3.6      9.2011403    0.074916281      8.6154555     0.10672465      10.236923    0.090092976
            3.8      2.3568092    0.032844527      2.1619248    0.029898074       2.655773    0.042521654
              4     0.65379625    0.022396664     0.59680047    0.026739291       0.747125    0.024914189
            4.2     0.16351235   0.0086349628     0.14972252   0.0084776339     0.17610882    0.018612387
            4.4    0.066855677    0.023705856    0.055037648    0.018517033    0.089249378    0.035744645
            4.6   0.0094036258   0.0028145349   0.0084891001   0.0022128484    0.010560573    0.004127005
            4.8   0.0020237204  0.00087192696   0.0016307616   0.0013539404   0.0020548011  0.00095344538
              5   0.0020237204  0.00087192696   0.0016307616   0.0013539404   0.0020548011  0.00095344538
