#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.1909743     0.34014315      4.8492845     0.22132227       8.274466     0.54946656
            0.2      11.226607     0.16822432      9.6430587     0.11980355      13.343753     0.24760205
            0.4      17.132086     0.11094802      15.024823    0.089898814      19.582732     0.14021654
            0.6      23.282805     0.10046675      20.592295    0.087585621      26.363614     0.12391427
            0.8      29.598341     0.10498221      26.400282    0.094070531      33.283831     0.15212791
              1      36.833961     0.13558583      32.968322      0.1180338      41.075773     0.15274093
            1.2      44.883543     0.13678476        40.3854     0.13868234      49.971339     0.15886512
            1.4      55.063801     0.15302597      49.970241     0.16497188      60.840562     0.18609972
            1.6      68.011515     0.17029244      61.859242     0.15384807      74.877089     0.21524021
            1.8      85.021451     0.17744158       77.86737     0.17627958      92.786509     0.22384225
              2      109.44433     0.20530454       100.8271     0.20207702      118.89084     0.24973845
            2.2      144.14897     0.22217105      133.68347     0.21117845      155.14238     0.27660113
            2.4      193.53485      0.2594976      180.76875     0.28774232      206.54307     0.31898314
            2.6      263.89185     0.30723671      248.91484     0.31424294      278.58014     0.36555786
            2.8       354.0556     0.35195099      336.26415     0.38470685      371.10174     0.42134954
              3      405.63436     0.36247516      386.16734     0.36652982      423.76681     0.45259766
            3.2      209.92214     0.26461415      198.27088     0.29552676      221.37355     0.32213732
            3.4       123.8959     0.20983399      115.77636     0.20824656      132.09136     0.29037496
            3.6      80.424688     0.16174766      74.633754     0.16109072      86.586586     0.19974193
            3.8      54.184585     0.13091518      49.955523     0.12656582      58.819894     0.17023878
              4      37.410967     0.10979967      34.297466     0.10512169      40.907218     0.13136844
            4.2      26.395783    0.094236309      24.060232    0.094432473      29.011271     0.10961741
            4.4      18.841861    0.081909945      17.074129    0.078843241       20.85981    0.094508168
            4.6      13.556295    0.068115319      12.192891    0.063765396      15.157581    0.080367219
            4.8       9.874166    0.055245562      8.8361871    0.051007284      11.128958    0.066891831
              5       9.874166    0.055245562      8.8361871    0.051007284      11.128958    0.066891831
