# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      115.43879     0.19115643      107.02443     0.18928077      123.68039     0.22859596
            0.2      114.34541     0.18927864      106.00612     0.18251411      122.33664     0.22950463
            0.4      113.90932     0.25882752      105.76378      0.2626073      122.07713      0.3716883
            0.6      112.90409     0.20442438      104.88938     0.20335063      120.80304      0.2368812
            0.8      113.56919     0.18859952       105.6088     0.22633871      121.62827     0.23073024
              1      115.87354     0.19701361      107.76127     0.20338998      124.00056     0.23273732
            1.2      119.62039     0.20649298      111.31652     0.21501528      128.02196      0.2469883
            1.4      125.57608     0.20457868      116.83779     0.23440927      134.39886     0.25077128
            1.6      133.94102     0.22352246      124.75959     0.20786158      143.54688     0.29001994
            1.8      145.96039     0.22859721      135.97814     0.22070632       156.1647      0.2723846
              2      161.01761     0.25196557      150.23159     0.24585559      172.23272      0.3115367
            2.2      180.43224     0.27153827      168.56035     0.24807743      193.03028     0.35615747
            2.4      205.38876     0.30373236      192.18212     0.29105172      219.73887     0.38374296
            2.6      233.03947     0.37131574      218.29509      0.3220874      249.55597     0.51175517
            2.8      261.23081     0.32602013      244.96112     0.33101136      279.18368     0.41586349
              3      196.50496     0.31920544      184.33978     0.29949931      210.07021     0.43601712
            3.2      196.50496     0.31920544      184.33978     0.29949931      210.07021     0.43601712
