#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       9.634817     0.37451383      7.6111384     0.24542187      12.663573     0.59541382
            0.2      17.693358    0.096945427      15.453235    0.081785541      20.508673     0.13091048
            0.4      27.001512     0.11625454      23.952382     0.09987322       30.45766     0.14749786
            0.6      35.293913     0.11405706      31.585896     0.10646381      39.606642     0.14899835
            0.8      43.451051     0.12434937      39.062609     0.11649369      48.404594     0.16329196
              1      51.678675     0.14837166      46.648205     0.15102478      57.397459     0.18427378
            1.2      60.047889     0.16957287      54.290238     0.15019337      66.490949     0.21847743
            1.4      70.734083     0.16299108      64.197342     0.16232951       77.89506     0.20398183
            1.6      84.301597     0.19024864      76.969366     0.18805292      92.346129     0.21310289
            1.8      102.50313     0.19159658      94.093089     0.18283504      111.80021     0.23688945
              2      129.26959     0.22202875      119.21911     0.22359189       140.1313     0.26422389
            2.2      166.24864      0.2368984      154.43909     0.22513127      178.61595     0.29423184
            2.4      219.78242     0.27862009      205.63411     0.30640687      234.08181     0.33652098
            2.6      294.85828     0.31187134      278.08331     0.32074914      311.38894      0.3774016
            2.8      387.55942     0.36599635      368.08552     0.39508115      406.10332     0.44426278
              3      428.04415     0.36990592      407.46032     0.36774924      447.54032     0.45866221
            3.2      171.09304      0.2476228      161.24096     0.28895666      180.61379     0.29162849
            3.4      74.685994     0.15734278      69.208951     0.15396876      80.559395     0.24650733
            3.6      35.840761     0.10881852      32.774145     0.10801016      39.330502     0.14321581
            3.8      18.112197    0.076741064      16.265509    0.071961953      20.256092    0.091558354
              4      9.5521967    0.063361207      8.4819267    0.061693221      10.881981    0.070407502
            4.2      5.2219402    0.049143673      4.5510872    0.049106439      6.0393073    0.051763862
            4.4      2.8649273    0.037914218      2.4725117    0.036140226      3.3549627    0.041283396
            4.6      1.5319352    0.027398929      1.2950072    0.026090583       1.837445    0.029214083
            4.8       0.843321    0.022193673     0.70571334    0.021997701      1.0184517    0.023436372
              5       0.843321    0.022193673     0.70571334    0.021997701      1.0184517    0.023436372
