#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      14.814563              0      14.787075              0      14.842051              0
            0.2      14.566217              0      14.540646              0      14.591788              0
            0.4      14.275101              0      14.249612              0       14.30059              0
            0.6      14.098347              0      14.075941              0      14.120753              0
            0.8      14.041758              0      14.020985              0      14.062531              0
              1      14.161048              0       14.14103              0      14.181066              0
            1.2      14.605796              0      14.586337              0      14.625255              0
            1.4      15.287844              0      15.268439              0      15.307249              0
            1.6      16.376857              0      16.356624              0       16.39709              0
            1.8      17.876287              0      17.855981              0      17.896593              0
              2      19.940381              0      19.918811              0      19.961951              0
            2.2      22.725102              0      22.701618              0      22.748586              0
            2.4      26.336631              0      26.310274              0      26.362988              0
            2.6      30.711073              0      30.680423              0      30.741723              0
            2.8       35.08475              0      35.047231              0      35.122269              0
              3      25.669977              0      25.615412              0      25.724542              0
            3.2      25.669977              0      25.615412              0      25.724542              0
