#    dyHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0081125548   0.0018107926   0.0054340379   0.0013027886    0.012564227   0.0026016159
           -3.8    0.017070053   0.0012849651    0.011571238   0.0008911292       0.026104   0.0019258621
           -3.6    0.033863292   0.0013524566    0.023104732  0.00092019303    0.051405567   0.0020663892
           -3.4    0.065030695   0.0027641615    0.044303552   0.0018983349    0.098830911    0.004174739
           -3.2     0.11599548    0.002872603    0.079667279     0.00198944     0.17471229    0.004305328
             -3     0.20300354   0.0033998482     0.13981481   0.0023594523     0.30472455   0.0050800984
           -2.8     0.34515157   0.0047175044     0.23873964   0.0033159484     0.51554172   0.0069458223
           -2.6     0.57589982   0.0056916505     0.40011856    0.003988566     0.85574944   0.0084085199
           -2.4     0.94993125   0.0082689257     0.66212196   0.0058925295      1.4061704    0.011997964
           -2.2      1.5414997    0.010493448      1.0784439   0.0074141493      2.2721259    0.015335434
             -2      2.4210041    0.011548649       1.699655   0.0082802296      3.5539827    0.016617874
           -1.8      3.7338437    0.013828147      2.6296345   0.0099657347      5.4612934    0.019783918
           -1.6      5.6491217     0.01698538       3.990199    0.012288272      8.2339613    0.024184279
           -1.4      8.3209242    0.019986967       5.892628    0.014481062      12.091714    0.028405428
           -1.2      11.912446    0.024043595       8.455371    0.017778945      17.264642    0.033540278
             -1      16.487345    0.026851328      11.726949    0.019477085      23.837934    0.038092041
           -0.8      21.782004    0.035014742      15.517052    0.025759012      31.436081     0.04896546
           -0.6       27.32087    0.034524505      19.483673    0.025114027       39.38081    0.048822781
           -0.4      32.117983    0.037301362      22.922513    0.027131759      46.254358    0.052747402
           -0.2      35.110507    0.041035259      25.063938    0.029966865      50.550117    0.057784151
              0      35.109663    0.038383067      25.064061    0.027914126      50.547202    0.054290667
            0.2      32.290121    0.035754074      23.045514    0.025894082        46.5017    0.050795267
            0.4      27.573789    0.034720361      19.665698    0.025232878      39.741627     0.04914206
            0.6      22.028409    0.030932372      15.692439    0.022484615       31.79179    0.043781271
            0.8      16.715723    0.027380396      11.890084    0.019920821      24.166178    0.038721104
              1      12.142222    0.022836636      8.6191995    0.016505368      17.595816    0.032525309
            1.2      8.5113981    0.020356722      6.0283477    0.014762124      12.366558    0.028902761
            1.4      5.7930931      0.0168516      4.0918811    0.012140872      8.4438289    0.024097609
            1.6      3.8657879    0.013524017      2.7217257   0.0097183511       5.655743    0.019404564
            1.8      2.5135055     0.01277997      1.7631207   0.0092853498      3.6929475    0.018136229
              2      1.6203517   0.0089195644      1.1330734   0.0063523665      2.3895164    0.012933798
            2.2      1.0077224    0.009902901     0.70138118   0.0071555043      1.4940214    0.014132819
            2.4     0.62882397   0.0056132701     0.43656581   0.0039426734     0.93511509   0.0082709664
            2.6     0.37836576   0.0045374345      0.2614523   0.0031883793     0.56573656   0.0066873927
            2.8     0.22784096   0.0034643859     0.15681056   0.0024143565     0.34225932    0.005151025
              3     0.12966032   0.0025142471    0.088804743   0.0017336151     0.19588099    0.003784746
            3.2    0.072610606   0.0018677347    0.049496309   0.0012872888     0.11031124   0.0028121947
            3.4    0.040212259   0.0013872685    0.027300895  0.00095780669    0.061381611   0.0020872341
            3.6    0.022262161  0.00096545164    0.015114167  0.00065160951    0.033997763   0.0014889964
            3.8   0.0098977786   0.0007292941   0.0066518046  0.00049571655    0.015288022   0.0011170139
              4   0.0098977786   0.0007292941   0.0066518046  0.00049571655    0.015288022   0.0011170139
