#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      90.432148     0.11841421      85.070499     0.11108796      103.26386     0.13635181
            0.2      89.516256     0.11787924      84.195719     0.11058495      102.22126     0.13576285
            0.4      88.473694     0.11719924      83.213718     0.11003548      101.02431     0.13477362
            0.6      87.951232     0.11695348      82.722799      0.1099323      100.41332     0.13473646
            0.8      87.784287     0.11798217      82.571884     0.11013679       100.1934     0.13694651
              1      89.323506     0.11805865      83.992995     0.11087643      101.97553     0.13567636
            1.2      91.710426     0.11972568      86.225218     0.11247144      104.67827     0.13797719
            1.4      96.287354     0.12271236      90.494852     0.11526253      109.91592     0.14168303
            1.6      102.24214     0.12634781      96.080264     0.11874985      116.69565     0.14531402
            1.8      110.54562     0.13122655      103.83978     0.12317634      126.18872     0.15070046
              2      121.62878     0.13740099      114.19132     0.12894885      138.86294     0.15753074
            2.2      136.03945     0.14536145      127.72311     0.13608095      155.26349     0.16816092
            2.4      153.48641     0.15349928       144.0143     0.14397997      175.17894     0.17607546
            2.6      174.05065     0.16289089      163.24986     0.15306231       198.6388     0.18823372
            2.8      195.04648     0.17161066      182.86357     0.16075562      222.57655     0.19715113
              3      146.65842     0.15102073      137.43979     0.14141409      167.37828     0.17323639
            3.2      146.65842     0.15102073      137.43979     0.14141409      167.37828     0.17323639
