# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      90.756545     0.11861822      85.399714      0.1113635      103.60684     0.13706791
            0.2      90.092208     0.11829287      84.774083     0.11153473      102.84325     0.13858998
            0.4        88.9908     0.11753288      83.712656     0.11035091      101.59578     0.13526808
            0.6      88.187276     0.11715333      82.961056     0.11004713      100.66925     0.13491792
            0.8      88.327002     0.11726085       83.07425     0.11015298      100.82237     0.13458115
              1      89.515144     0.11814269      84.172926     0.11096685      102.18666     0.13564946
            1.2      92.100632     0.12027509       86.59333     0.11274557      105.12685     0.13940638
            1.4      96.350137     0.12268625       90.56651     0.11528601      109.97601     0.14100933
            1.6       102.3179     0.12639545      96.149384     0.11866662      116.78219     0.14519882
            1.8      110.55799     0.13123618      103.83684     0.12327193      126.21639     0.15099491
              2      121.43476     0.13739332      114.02628     0.12888943      138.62216     0.15811439
            2.2      135.46266     0.14469599      127.14422     0.13576247      154.63447     0.16598847
            2.4      153.13842     0.15415887      143.69843     0.14399286      174.77759     0.17788649
            2.6      173.74066     0.16269499      162.92345     0.15244149      198.32236     0.18667678
            2.8      194.01946     0.17122849      181.86382     0.16036276      221.44943     0.19660539
              3      146.18526     0.15089745      136.99274     0.14136545      166.83763     0.17317918
            3.2      146.18526     0.15089745      136.99274     0.14136545      166.83763     0.17317918
