#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      4.3432661    0.027352197      4.0583724    0.025598893      4.9997488     0.03138065
            0.2      12.893415     0.04675322      12.045442     0.04374455      14.835017    0.053704063
            0.4      20.804569    0.059262582      19.433289    0.055420957      23.929803    0.068127786
            0.6      28.017612    0.068897068      26.169978    0.064677864      32.200065    0.079100976
            0.8      34.720516    0.076635923      32.435158    0.071666978      39.867354    0.088011184
              1      41.125084    0.083311463      38.414589    0.077906014      47.190917    0.095644438
            1.2      47.846858    0.089660151      44.706296    0.083880731      54.872328     0.10291053
            1.4      55.857442    0.096505645      52.217576    0.090343534      64.002591     0.11067553
            1.6      65.892414     0.10421941      61.629215    0.097551576       75.46301     0.11953356
            1.8      79.539143       0.113639      74.462151      0.1064441      91.044713     0.13025415
              2      98.940984     0.12549964      92.758233     0.11768826      113.15599     0.14381857
            2.2      127.05134     0.14043883      119.30331     0.13194346      145.19808      0.1619287
            2.4      166.90271     0.15809855      156.97335     0.14864969      190.61715     0.18118043
            2.6      222.67757     0.17878682      209.76758     0.16801923      254.16369     0.20605004
            2.8       292.5329     0.19908075      275.90376     0.18739692      333.74748     0.22890614
              3      324.19404     0.20710851      305.78895       0.194756      369.61122     0.23872371
            3.2      129.68578     0.14285906      121.68501     0.13357256       147.0683     0.16770389
            3.4      55.704475    0.096254506      51.879546    0.089493163      63.070161     0.11065964
            3.6       26.15642    0.067257951       24.20584    0.062204918      29.607952    0.077460691
            3.8       12.72582    0.047824583      11.705036    0.043942446      14.416684    0.055270098
              4      6.4758045     0.03489559      5.9204199    0.031780246      7.3495893    0.040204127
            4.2      3.3305348    0.025650376      3.0339265    0.023311282      3.7782609    0.029613325
            4.4      1.7733461    0.019398148      1.6105623    0.017542201      2.0111196    0.022379996
            4.6      0.9582476    0.014702061     0.86619068    0.013696675       1.088994    0.017212706
            4.8      0.5133503    0.011129494     0.46099917   0.0099571921     0.58642645    0.012879568
              5      0.5133503    0.011129494     0.46099917   0.0099571921     0.58642645    0.012879568
