#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       35.23739    0.078457782       32.76106    0.073111328      40.456606    0.090076685
            0.2      35.817792    0.078968131      33.308856    0.073574801      41.112058    0.090690804
            0.4      37.016083    0.080166336       34.44057    0.074908853      42.467569    0.091979187
            0.6      39.035498    0.081992365      36.334478    0.076408298      44.773661    0.094121869
            0.8      42.158295    0.084943497      39.283362    0.079307865      48.306541    0.097449877
              1      46.392837    0.088741313      43.255115    0.082821872      53.150382     0.10179798
            1.2      52.551477    0.093977407      49.044211      0.0877746      60.170335     0.10777614
            1.4      61.046028     0.10069126      57.021818     0.09413237      69.852989     0.11544809
            1.6      73.212076     0.10956788      68.457512     0.10256773      83.724517     0.12630081
            1.8      90.296282     0.12054397      84.542944     0.11298752      103.19086     0.13813576
              2      114.93415     0.13446377      107.74912      0.1260593      131.25689     0.15404404
            2.2       150.2285      0.1514585      141.07609     0.14222077      171.41189     0.17391446
            2.4      199.74414     0.17118474      187.84415     0.16084306      227.76715     0.19628912
            2.6      266.24858     0.19279812      250.72372     0.18114365      303.47488     0.22257173
            2.8      341.36522     0.21230305      321.81573     0.19920154      388.98147     0.24572598
              3      275.89252     0.19406968      260.23094     0.18257994      314.37144     0.22516495
            3.2      275.89252     0.19406968      260.23094     0.18257994      314.37144     0.22516495
