#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0018593421  0.00061272776   0.0017005746  0.00055974926   0.0020926272  0.00068098029
           -3.8    0.015747158   0.0017225204    0.013810175   0.0015102776     0.01857061   0.0020347469
           -3.6    0.097957289   0.0042120488    0.086535806   0.0037258336      0.1148266   0.0049472527
           -3.4     0.40166229   0.0085834168     0.35882668   0.0076724795     0.46577601    0.010015228
           -3.2      1.2123346    0.014859124       1.095922    0.013503794      1.3934761    0.017173191
             -3      2.9168861    0.022950149      2.6552419    0.020909973       3.337327    0.026442006
           -2.8      5.8275446    0.032289012      5.3431966    0.029628469      6.6436819    0.037049403
           -2.6      10.479796    0.043010661      9.6649479    0.039706518      11.921569    0.049178656
           -2.4      17.094112    0.054549357      15.852257    0.050616256      19.412485    0.062344473
           -2.2      25.544236    0.066156615      23.779884    0.061586408      29.002847    0.075751809
             -2      35.635491    0.077480332      33.264023    0.072309525      40.496007    0.088745008
           -1.8      47.137766    0.088322194      44.103384    0.082594303      53.611805     0.10099781
           -1.6      59.518964    0.098466489      55.805085    0.092308485      67.738138     0.11275845
           -1.4       72.28984     0.10769927      67.868952     0.10116915       82.37223     0.12335981
           -1.2      85.144227     0.11600445       80.01874     0.10901045      97.128285     0.13362043
             -1      96.940059     0.12301654      91.177543     0.11556937      110.69054     0.14123184
           -0.8      107.82028     0.12914372      101.46933     0.12172773      123.21181      0.1499948
           -0.6      115.81313     0.13320697      109.03781     0.12524729      132.43679     0.15315631
           -0.4      121.71424     0.13621898      114.64003      0.1281535         139.21     0.15679338
           -0.2      124.60302     0.13795683      117.37955     0.12940347      142.54579     0.15990645
              0      125.02894     0.13777549      117.75139     0.12958171      143.07474     0.15846945
            0.2      121.60374     0.13612716       114.5194      0.1281109      139.11831     0.15697385
            0.4      115.89531     0.13324354      109.10283     0.12525585      132.53118     0.15321565
            0.6      107.41644     0.12969048      101.09212      0.1212557      122.74483      0.1501253
            0.8      97.198353     0.12320683      91.429477     0.11573089      110.97533     0.14201479
              1      85.170175     0.11593429      80.034176     0.10892438      97.178707      0.1329993
            1.2      72.517194     0.10775864      68.077046     0.10107384      82.648755     0.12344651
            1.4      59.750913    0.098629633      56.030114    0.092378737      67.995777     0.11353923
            1.6      47.228649    0.088377731      44.197023    0.082674763      53.699664      0.1015024
            1.8      35.542555    0.077288646      33.174405    0.072132056      40.392929    0.088358005
              2      25.543828    0.066189505      23.785331    0.061858891      28.996366    0.077060214
            2.2      17.070034    0.054434396      15.815693    0.050453396      19.405156    0.062242689
            2.4      10.516365    0.043072031      9.6983728    0.039764997      11.967375    0.049417575
            2.6      5.8565001    0.032378389       5.372914    0.029946641      6.6708798    0.037222806
            2.8      2.9022649    0.022910874      2.6405103     0.02085975      3.3221003    0.026408945
              3      1.1948687    0.014781478      1.0791961    0.013358167      1.3735901    0.017098882
            3.2     0.41509713   0.0087053657     0.37035337   0.0077868799     0.48247901    0.010150129
            3.4    0.098286123   0.0043122474    0.086694162   0.0037953771     0.11543716   0.0050912045
            3.6    0.016207925   0.0017426862    0.014110649   0.0015353777    0.019294671   0.0020544717
            3.8   0.0016117018  0.00061512272   0.0014378991  0.00053655963   0.0018952281  0.00072884702
              4   0.0016117018  0.00061512272   0.0014378991  0.00053655963   0.0018952281  0.00072884702
