#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       11.39175    0.056955936      9.5498164    0.045424436      13.357191    0.092386229
            0.2      32.533826    0.096225439       27.26623    0.074252747      38.179746     0.14790206
            0.4       50.05716     0.11937994      41.950239    0.092144485      58.758665     0.18439912
            0.6      63.758169     0.13518855      53.537492     0.10449936      74.704305     0.21048624
            0.8      74.531261     0.14632958      62.619041      0.1125059      87.287169     0.22628146
              1      82.976318     0.15510624      69.726957     0.12001988      97.271946     0.24413304
            1.2      90.406529     0.16140516      76.063044     0.12450527      105.86562     0.25136205
            1.4      97.830241     0.16833443      82.312666     0.12991719      114.69587      0.2640509
            1.6      105.46348     0.17542312      88.804016     0.13579814      123.54476      0.2775337
            1.8      113.66548     0.18253615      95.779882     0.14228936      133.17052      0.2927517
              2      124.04932     0.19173491      104.64653     0.14790884      145.14082     0.30566526
            2.2      137.42161     0.20242893      116.01982     0.15486458      160.68112     0.32101075
            2.4      153.77791      0.2154135      129.84125     0.16388081      180.09597     0.34245981
            2.6      173.88381     0.22900212      146.92101     0.17485406      203.47711     0.36708869
            2.8      196.20392     0.24520301      165.99801     0.18591781      229.28306     0.39489723
              3      198.56962     0.24732927      168.01868     0.18829684      232.04352     0.40513923
            3.2      97.357736     0.17461683      82.056496     0.13156979      114.19086     0.27767274
            3.4      55.481322     0.13190373      46.597867       0.103145      65.326966     0.22040998
            3.6      35.036523       0.104846      29.297669    0.079179762      41.424013     0.17320653
            3.8       23.15936    0.085547668      19.309564    0.064420033      27.503809     0.13740728
              4      15.661443    0.069953152      13.001567    0.052656974      18.723766     0.11364312
            4.2      10.681171    0.057619408      8.8465371    0.043005953      12.814249    0.091509608
            4.4      7.3547231    0.047869957      6.0715163    0.035724015      8.8667373    0.076206709
            4.6      5.1830469    0.040772112      4.2809406    0.030266433      6.2250528      0.0663212
            4.8       3.530532    0.033417318      2.9191975    0.024821589      4.2346012     0.05367991
              5       3.530532    0.033417318      2.9191975    0.024821589      4.2346012     0.05367991
