#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.7059417    0.029301717        2.31366    0.022307085      2.9838539     0.07825939
            0.2       8.063324    0.047427824      6.8010804    0.036916688       9.329178    0.071047584
            0.4      13.362958    0.060608103      11.305285    0.049267082       15.40158    0.098358718
            0.6      18.929168    0.071842666      15.918032    0.056200764      22.117116     0.10673418
            0.8      24.608418     0.08202243      20.674328    0.064001499      28.794565     0.12238612
              1      30.496935    0.091926216      25.661429    0.072292645       35.64149     0.14122575
            1.2       37.36563     0.10187329      31.429644    0.079467798      43.782752     0.15402187
            1.4      45.525222     0.11280022      38.322787    0.087622784        53.2769     0.17040186
            1.6       56.21232      0.1257298      47.317905    0.097277241      65.851633     0.19138069
            1.8       70.05057     0.14076601      59.063181     0.10888794      81.869624      0.2148702
              2      89.335668     0.15997367      75.333983     0.12340152      104.50658     0.24602431
            2.2      117.06942       0.183624       98.79971     0.14139061      136.90156     0.28413898
            2.4       156.1954     0.21322579      131.98989     0.16631135      182.44504     0.34235914
            2.6        211.537     0.24921748      178.94175     0.19169197      246.95248     0.39939523
            2.8      282.60853     0.28898546      239.31674     0.22095433      329.80927     0.46803167
              3      324.07484     0.31033231      274.24783     0.23467832      378.70587     0.50378381
            3.2      167.01747     0.22799592      140.78727     0.17243705      195.63229     0.36937839
            3.4      98.467379     0.17543745       82.63643     0.13385806      115.71243     0.28613637
            3.6      64.552266     0.14226485      53.861765      0.1069308      76.379875     0.22847717
            3.8      43.397513     0.11697273      36.057342    0.087039291      51.620087      0.1869265
              4      30.017866    0.097408975      24.889585    0.072684374      35.752829     0.15713762
            4.2       21.39224    0.081945566        17.6775    0.065077279      25.617521     0.14374552
            4.4      15.126378    0.069951083      12.429933    0.051619185      18.244133     0.11407303
            4.6      11.038226    0.058844664      9.0235785    0.043601723      13.404985    0.095987213
            4.8      7.9153014    0.049893127      6.4532038    0.037719079      9.6565664    0.083501436
              5      7.9153014    0.049893127      6.4532038    0.037719079      9.6565664    0.083501436
