# massHiggs+top        central        num_err    min (scale)        num_err    max (scale)        num_err
# +tbar
            680      1.1037808   0.0039902719      1.0513153   0.0037321782       1.142468   0.0053359098
            685      1.0915266   0.0037701665       1.037589   0.0036268562      1.1345685   0.0052880918
            690      1.0673261   0.0037120053      1.0151016     0.00345204      1.1059726    0.005246128
            695      1.0524545   0.0036868384      1.0011691   0.0034428761      1.0913432   0.0052112725
            700      1.0300616   0.0036634553     0.98240107   0.0035881514       1.060236   0.0051300131
            705      1.0158294   0.0037376812     0.95997417   0.0068283945      1.0517683   0.0052021697
            710     0.99093773   0.0036868199     0.94458193   0.0034760044      1.0236974   0.0052271876
            715     0.97706299   0.0035725801     0.93061739   0.0042514673      1.0085507   0.0049929865
            720     0.95715268   0.0035535514     0.91039104   0.0034925614     0.99086347   0.0049446444
            725     0.94061387   0.0036021293     0.89585173   0.0038842363      0.9726481   0.0051200438
            730     0.91810995   0.0035170055     0.87732845   0.0035995735     0.94520267   0.0049706592
            735     0.90016296   0.0040635355     0.85948762   0.0036635003     0.92457026   0.0048520666
            740     0.88249256   0.0033854616     0.83918916   0.0038402443     0.91246327   0.0049232557
            745     0.86464631   0.0033474396     0.82307405   0.0031385678     0.89300604   0.0047241063
            750     0.84400043   0.0033885741       0.804251   0.0030559806      0.8750207   0.0046283667
            755     0.82225921   0.0032976434     0.78475213   0.0031266878     0.84687193   0.0049999121
            760     0.81174543   0.0032703339     0.77569466   0.0031933556      0.8331528   0.0045632299
            765     0.79751197   0.0032106966      0.7569464   0.0033729479     0.82698325   0.0044633919
            770     0.77385579   0.0031531746      0.7373298    0.002907018     0.79940138   0.0044747317
            775     0.75438066   0.0031443608     0.72042747   0.0029853302     0.77290067   0.0044149239
            780     0.74348076    0.003157217     0.71058365   0.0031497329     0.76330373   0.0044056027
            785     0.72198798   0.0030916814     0.68708904     0.00297585     0.74391704   0.0043224475
            790     0.70920934   0.0030155862     0.68080812   0.0062191488     0.73189864   0.0042984071
            795     0.69106354   0.0030172201     0.64594112    0.013413597     0.71084547   0.0042021221
            800     0.67747454   0.0030279432      0.6473314   0.0031627362     0.69392437   0.0042020996
            805     0.66079318   0.0029839634     0.63084599   0.0027478031     0.68023077   0.0040725906
            810      0.6464947   0.0029118257     0.61796503   0.0028376311     0.66329015   0.0040547115
            815     0.63422347   0.0028962744     0.60503415   0.0027232704     0.65111873   0.0040694033
            820      0.6096966   0.0070575437     0.58217929     0.01339205     0.63053533   0.0040070643
            825     0.60476107     0.00287106     0.57781497    0.002864444      0.6198794   0.0039468592
            830     0.58917761   0.0029676208     0.56297767   0.0030993647     0.60058576   0.0036469948
            835     0.57902636   0.0029745512     0.55253698   0.0026540138     0.59140985   0.0038463637
            840     0.56444325   0.0027192214     0.53752663   0.0025298452     0.58287741   0.0037773114
            845     0.54777949   0.0026778456     0.52702275   0.0049696662     0.56184819   0.0037181076
            850     0.54350226   0.0026365235     0.51783197   0.0024051705     0.55880697   0.0036732587
            855     0.52549736   0.0026281052     0.50294758   0.0025225254     0.53688571   0.0036483697
            860     0.51895569   0.0025916732      0.4940851   0.0024164378     0.53521645   0.0036154889
            865     0.50637026   0.0025640747     0.48297773   0.0024154773      0.5208548   0.0035665047
            870     0.49335903   0.0025142997      0.4707289   0.0023022809     0.50654136   0.0035074875
            875     0.48264782   0.0025306591     0.45975638    0.002274153     0.49507012   0.0034457207
            880      0.4713939   0.0025304826     0.45012494   0.0025608153     0.48341334   0.0034620184
            885     0.46238358   0.0024675089     0.44171171   0.0024043239       0.474902   0.0034086532
            890     0.44932743   0.0025009753     0.42957164   0.0024850878     0.45954992   0.0034538183
            895      0.4392146   0.0023926228     0.41868345   0.0022586717     0.45039277    0.003380893
            900     0.43156263   0.0025141194     0.41327694   0.0030451617     0.44416893   0.0034278024
            905     0.42323156   0.0023569542     0.40358834   0.0022797287     0.43468323   0.0033109725
            910     0.40942045   0.0023164322     0.39047886   0.0022273743      0.4196931   0.0032136754
            915     0.40170743   0.0022821149     0.38247666   0.0020822438     0.41308657    0.003184551
            920     0.39047447   0.0022567856     0.37173908   0.0021249158     0.40096089   0.0031366302
            925     0.38487276    0.002253014      0.3664311   0.0022561146     0.39663449   0.0030941494
            930     0.37958885   0.0022532448     0.36313649   0.0021781929     0.38843603   0.0030742898
            935      0.3655929   0.0021866428      0.3484382   0.0020648398        0.37522    0.003035987
