#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.192521    0.078440372      18.965285    0.071987242      21.176014     0.10829167
            0.2      56.570395     0.13447627      53.232188     0.19993177      59.311333     0.18952654
            0.4      84.055604     0.16651428      78.996519     0.16538537      87.892337     0.23299416
            0.6      101.99417     0.21036407      95.834451      0.2164157      106.30722     0.24991213
            0.8      113.06792      0.1984278      106.49517     0.18207167      118.19923     0.28588899
              1      118.89355      0.2040175       112.2467     0.21775223      123.75117     0.38009901
            1.2       123.7252     0.22637211      116.59351     0.19253501      129.04984      0.2730431
            1.4      128.25487      0.2100423      121.16042     0.19415464      133.45393     0.28523613
            1.6      133.97795     0.22823938      126.36694     0.19397854      139.97126     0.32371262
            1.8      142.51012     0.28678351      135.11125     0.21001962      148.51926     0.30207719
              2      154.18278     0.22931786      146.05124     0.21907746      160.31082     0.31460246
            2.2       169.4464     0.24445572      160.80085     0.22741316       175.9842     0.34065888
            2.4      189.58563     0.26411119      180.42981     0.25639648      196.58597     0.36154998
            2.6       214.7037     0.28150652      204.26119     0.47568432      222.66078     0.39393874
            2.8      242.16124     0.30492146      231.34145     0.32643117      250.73561     0.43736737
              3      237.97927     0.29956951      227.36463     0.28155639      246.31861     0.43003996
            3.2      80.749045     0.17328889      76.626732     0.16783972       84.00535     0.25078921
            3.4      31.802701     0.10997946       29.83549     0.10915252      33.437855     0.15036603
            3.6      14.431495    0.084657759      13.509755    0.079436103      15.438023     0.10237766
            3.8      6.7335557     0.04991992      6.1431718     0.04530708       7.347883     0.07027536
              4      3.2442332    0.037599367      2.9443242    0.034384778      3.5978875    0.051172139
            4.2      1.5336511    0.023479299      1.3675056    0.020260974      1.7219725    0.033319304
            4.4     0.71069081    0.015611566     0.62497321    0.012856452     0.80895484    0.022796839
            4.6     0.33666458    0.011171921     0.30011364    0.010034255     0.37674756    0.015645377
            4.8     0.15723933   0.0077408467     0.13375742   0.0067826583     0.19250398    0.012346532
              5     0.15723933   0.0077408467     0.13375742   0.0067826583     0.19250398    0.012346532
