#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.8401956     0.01343537      3.8401956     0.01343537      3.8401956     0.01343537
            0.2      3.9559436    0.013432859      3.9559436    0.013432859      3.9559436    0.013432859
            0.4      4.1408789    0.013587116      4.1408789    0.013587116      4.1408789    0.013587116
            0.6      4.4987515    0.013985129      4.4987515    0.013985129      4.4987515    0.013985129
            0.8      4.9977084    0.014592563      4.9977084    0.014592563      4.9977084    0.014592563
              1      5.6638507    0.015388717      5.6638507    0.015388717      5.6638507    0.015388717
            1.2      6.6592846    0.016543253      6.6592846    0.016543253      6.6592846    0.016543253
            1.4      8.1920255    0.018123986      8.1920255    0.018123986      8.1920255    0.018123986
            1.6      10.416333    0.020195854      10.416333    0.020195854      10.416333    0.020195854
            1.8      13.720689    0.022864416      13.720689    0.022864416      13.720689    0.022864416
              2      18.854772    0.026412977      18.854772    0.026412977      18.854772    0.026412977
            2.2      27.088785    0.031066142      27.088785    0.031066142      27.088785    0.031066142
            2.4      40.321649    0.036981823      40.321649    0.036981823      40.321649    0.036981823
            2.6      61.329203    0.044045574      61.329203    0.044045574      61.329203    0.044045574
            2.8      91.275291    0.051158541      91.275291    0.051158541      91.275291    0.051158541
              3      81.759056      0.0490244      81.759056      0.0490244      81.759056      0.0490244
            3.2      81.759056      0.0490244      81.759056      0.0490244      81.759056      0.0490244
