#       dyttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.12455394   0.0024675956     0.12455394   0.0024675956     0.12455394   0.0024675956
           -3.8     0.18824723   0.0028414542     0.18824723   0.0028414542     0.18824723   0.0028414542
           -3.6     0.26540481   0.0032812794     0.26540481   0.0032812794     0.26540481   0.0032812794
           -3.4     0.37270422   0.0039103855     0.37270422   0.0039103855     0.37270422   0.0039103855
           -3.2     0.49038965   0.0045568251     0.49038965   0.0045568251     0.49038965   0.0045568251
             -3     0.66568254   0.0053727559     0.66568254   0.0053727559     0.66568254   0.0053727559
           -2.8     0.87387176   0.0061967586     0.87387176   0.0061967586     0.87387176   0.0061967586
           -2.6      1.1898024   0.0071947295      1.1898024   0.0071947295      1.1898024   0.0071947295
           -2.4      1.6795349   0.0084140512      1.6795349   0.0084140512      1.6795349   0.0084140512
           -2.2      2.4373563   0.0098678415      2.4373563   0.0098678415      2.4373563   0.0098678415
             -2      3.6213361    0.011775719      3.6213361    0.011775719      3.6213361    0.011775719
           -1.8      5.3977322    0.014221473      5.3977322    0.014221473      5.3977322    0.014221473
           -1.6      7.9254172    0.017123383      7.9254172    0.017123383      7.9254172    0.017123383
           -1.4      11.301588    0.020276591      11.301588    0.020276591      11.301588    0.020276591
           -1.2      15.386135    0.023482122      15.386135    0.023482122      15.386135    0.023482122
             -1      20.014585    0.026599916      20.014585    0.026599916      20.014585    0.026599916
           -0.8      24.746462    0.029432459      24.746462    0.029432459      24.746462    0.029432459
           -0.6       29.16323    0.031864558       29.16323    0.031864558       29.16323    0.031864558
           -0.4      32.631524    0.033762219      32.631524    0.033762219      32.631524    0.033762219
           -0.2      34.661532    0.035014747      34.661532    0.035014747      34.661532    0.035014747
              0      34.722757    0.035030041      34.722757    0.035030041      34.722757    0.035030041
            0.2      32.688726    0.033784082      32.688726    0.033784082      32.688726    0.033784082
            0.4      29.168632    0.031876965      29.168632    0.031876965      29.168632    0.031876965
            0.6      24.792669    0.029455174      24.792669    0.029455174      24.792669    0.029455174
            0.8      20.021929    0.026603628      20.021929    0.026603628      20.021929    0.026603628
              1      15.372724    0.023462127      15.372724    0.023462127      15.372724    0.023462127
            1.2      11.228047     0.02021903      11.228047     0.02021903      11.228047     0.02021903
            1.4      7.9288126     0.01711513      7.9288126     0.01711513      7.9288126     0.01711513
            1.6      5.3923025     0.01421374      5.3923025     0.01421374      5.3923025     0.01421374
            1.8      3.6407307    0.011802675      3.6407307    0.011802675      3.6407307    0.011802675
              2      2.4202313   0.0098539588      2.4202313   0.0098539588      2.4202313   0.0098539588
            2.2      1.6784456   0.0083980089      1.6784456   0.0083980089      1.6784456   0.0083980089
            2.4      1.1943975   0.0072189333      1.1943975   0.0072189333      1.1943975   0.0072189333
            2.6     0.87297419   0.0061993894     0.87297419   0.0061993894     0.87297419   0.0061993894
            2.8      0.6613066   0.0053448778      0.6613066   0.0053448778      0.6613066   0.0053448778
              3     0.49933743   0.0045706144     0.49933743   0.0045706144     0.49933743   0.0045706144
            3.2     0.35874005    0.003842928     0.35874005    0.003842928     0.35874005    0.003842928
            3.4     0.26253805   0.0032744591     0.26253805   0.0032744591     0.26253805   0.0032744591
            3.6     0.18438738   0.0028246875     0.18438738   0.0028246875     0.18438738   0.0028246875
            3.8     0.12130119    0.002433461     0.12130119    0.002433461     0.12130119    0.002433461
              4     0.12130119    0.002433461     0.12130119    0.002433461     0.12130119    0.002433461
