#    dyHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4    0.018887499  0.00092099387    0.018887499  0.00092099387    0.018887499  0.00092099387
           -3.8    0.033468084   0.0011952436    0.033468084   0.0011952436    0.033468084   0.0011952436
           -3.6    0.056917874   0.0015693056    0.056917874   0.0015693056    0.056917874   0.0015693056
           -3.4     0.10193718   0.0021017264     0.10193718   0.0021017264     0.10193718   0.0021017264
           -3.2     0.18252105   0.0027839782     0.18252105   0.0027839782     0.18252105   0.0027839782
             -3     0.30591746   0.0035594182     0.30591746   0.0035594182     0.30591746   0.0035594182
           -2.8     0.50394589   0.0045175015     0.50394589   0.0045175015     0.50394589   0.0045175015
           -2.6     0.80820139   0.0056641016     0.80820139   0.0056641016     0.80820139   0.0056641016
           -2.4       1.306209   0.0071518608       1.306209   0.0071518608       1.306209   0.0071518608
           -2.2      2.0705261   0.0089165612      2.0705261   0.0089165612      2.0705261   0.0089165612
             -2      3.1790884    0.010985775      3.1790884    0.010985775      3.1790884    0.010985775
           -1.8      4.7894625    0.013411647      4.7894625    0.013411647      4.7894625    0.013411647
           -1.6      7.0759411    0.016237968      7.0759411    0.016237968      7.0759411    0.016237968
           -1.4        10.1933    0.019406131        10.1933    0.019406131        10.1933    0.019406131
           -1.2      14.230015    0.022817384      14.230015    0.022817384      14.230015    0.022817384
             -1      19.254861    0.026387378      19.254861    0.026387378      19.254861    0.026387378
           -0.8      24.909877    0.029777202      24.909877    0.029777202      24.909877    0.029777202
           -0.6       30.62861    0.032785264       30.62861    0.032785264       30.62861    0.032785264
           -0.4      35.412893    0.035018265      35.412893    0.035018265      35.412893    0.035018265
           -0.2      38.299387    0.036281295      38.299387    0.036281295      38.299387    0.036281295
              0      38.238245    0.036259986      38.238245    0.036259986      38.238245    0.036259986
            0.2      35.410198    0.035018706      35.410198    0.035018706      35.410198    0.035018706
            0.4      30.654237    0.032787859      30.654237    0.032787859      30.654237    0.032787859
            0.6      24.914821    0.029790345      24.914821    0.029790345      24.914821    0.029790345
            0.8      19.250419    0.026373885      19.250419    0.026373885      19.250419    0.026373885
              1      14.264096    0.022840513      14.264096    0.022840513      14.264096    0.022840513
            1.2      10.186827    0.019405849      10.186827    0.019405849      10.186827    0.019405849
            1.4      7.0525445     0.01621893      7.0525445     0.01621893      7.0525445     0.01621893
            1.6      4.7933482    0.013431128      4.7933482    0.013431128      4.7933482    0.013431128
            1.8      3.1737856    0.010995153      3.1737856    0.010995153      3.1737856    0.010995153
              2      2.0546959   0.0088900911      2.0546959   0.0088900911      2.0546959   0.0088900911
            2.2      1.3080227   0.0071602866      1.3080227   0.0071602866      1.3080227   0.0071602866
            2.4     0.81498577   0.0057008619     0.81498577   0.0057008619     0.81498577   0.0057008619
            2.6     0.50190831   0.0045343064     0.50190831   0.0045343064     0.50190831   0.0045343064
            2.8     0.30655475    0.003550948     0.30655475    0.003550948     0.30655475    0.003550948
              3     0.17862236   0.0027233859     0.17862236   0.0027233859     0.17862236   0.0027233859
            3.2     0.10135054   0.0020680784     0.10135054   0.0020680784     0.10135054   0.0020680784
            3.4    0.056884647   0.0015632619    0.056884647   0.0015632619    0.056884647   0.0015632619
            3.6     0.03343202   0.0012019851     0.03343202   0.0012019851     0.03343202   0.0012019851
            3.8    0.016122339  0.00085963936    0.016122339  0.00085963936    0.016122339  0.00085963936
              4    0.016122339  0.00085963936    0.016122339  0.00085963936    0.016122339  0.00085963936
