#          ptj1        central        num_err    min (scale)        num_err    max (scale)        num_err
            320   0.0015478466  2.2746624e-05   0.0015396245  2.2740775e-05   0.0015604318  2.2977689e-05
            325   0.0014672682  2.2674397e-05   0.0014604169  2.2571112e-05   0.0014800687  2.2873683e-05
            330   0.0014303277  2.2054839e-05   0.0014237715  2.1963455e-05   0.0014441886  2.2246604e-05
            335   0.0013785538   2.169111e-05    0.001370924  2.1617652e-05   0.0013894786  2.1936737e-05
            340   0.0012614987  2.1093957e-05   0.0012544676  2.1093416e-05   0.0012730999  2.1411148e-05
            345    0.001258361  2.0816739e-05   0.0012538568   2.074993e-05   0.0012712455  2.1134726e-05
            350   0.0011316017  1.9662346e-05   0.0011267448  1.9596934e-05   0.0011426473  1.9837718e-05
            355   0.0011076498  1.9417972e-05   0.0011032957  1.9350299e-05   0.0011167978  1.9655589e-05
            360    0.001089718  1.9100502e-05   0.0010851786  1.9031427e-05   0.0010994735  1.9249018e-05
            365  0.00098799127  1.8558053e-05  0.00098422777  1.8495588e-05  0.00099818563  1.8724744e-05
            370  0.00096898239  1.8185953e-05  0.00096473755  1.8120377e-05  0.00097780913  1.8429496e-05
            375  0.00095898252  1.7920442e-05  0.00095530168  1.7860008e-05  0.00096726376  1.8067797e-05
            380   0.0008901895  1.7543812e-05  0.00088668747  1.7481119e-05  0.00089769331  1.7688774e-05
            385  0.00079863666  1.6386676e-05  0.00079551109   1.633211e-05  0.00080583928  1.6511881e-05
            390  0.00081673211  1.6625448e-05  0.00081380238  1.6569365e-05  0.00082395486  1.6761759e-05
            395  0.00073731396  1.5915449e-05  0.00073463519  1.5865989e-05  0.00074359741  1.6035034e-05
            400   0.0007315519   1.552887e-05  0.00072935603  1.5486652e-05   0.0007397424  1.5701606e-05
            405  0.00065161882   1.469272e-05  0.00064967502  1.4652197e-05  0.00065675118  1.4796502e-05
            410  0.00064013625  1.4723266e-05  0.00063792374  1.4677906e-05  0.00064519632  1.4827942e-05
            415  0.00062785303  1.4506625e-05  0.00062521463  1.4478955e-05  0.00063090003  1.4652629e-05
            420  0.00059906399  1.4144744e-05  0.00059727435  1.4108236e-05   0.0006044194  1.4263951e-05
