#  dphiaa-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.12741754  0.00085227513     0.12683963  0.00085008276     0.12816483   0.0008596715
     0.31415927     0.16073307  0.00096898236     0.15988167  0.00096640368     0.16162061  0.00098621452
     0.62831853     0.20628423   0.0010660437     0.20515057    0.001062139     0.20726867   0.0010743774
      0.9424778     0.24464213   0.0011638023     0.24322376   0.0011591953     0.24629005    0.001175051
      1.2566371      0.2695887   0.0012356185     0.26802012   0.0012427891     0.27189459   0.0012784375
      1.5707963     0.27561041   0.0012454499     0.27385087   0.0012465114     0.27859684   0.0012712329
      1.8849556     0.27219693   0.0012390131     0.27060326   0.0012388123      0.2754428   0.0012731245
      2.1991149     0.26611496   0.0012299692     0.26439984   0.0012236325     0.26952392   0.0012523441
      2.5132741     0.25683258   0.0012105455     0.25550702   0.0012062246       0.260485   0.0012383718
      2.8274334     0.25221673   0.0011895809     0.25078152   0.0012018346     0.25462136   0.0012386968
      3.1415927     0.25221673   0.0011895809     0.25078152   0.0012018346     0.25462136   0.0012386968
