# ptHfine-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
# R2
             51   0.0041828978  8.6577927e-05   0.0041562331  8.6142748e-05   0.0042332282  8.7507789e-05
             52    0.004319607  8.7275079e-05   0.0042924482  8.6851225e-05   0.0043751094  8.8351239e-05
             53   0.0045424234  8.9698433e-05   0.0045123098  8.9244648e-05   0.0046000799  9.0682379e-05
             54   0.0043553822  8.7948004e-05    0.004327142  8.7546515e-05    0.004412416  8.9036673e-05
             55   0.0044221029  8.8047848e-05   0.0043978922  8.7781119e-05   0.0044824465  8.9091431e-05
             56   0.0044337897  8.9467733e-05   0.0044103676  8.9113188e-05   0.0044924819  9.0719681e-05
             57   0.0045804359  8.9892284e-05   0.0045516658   8.943947e-05   0.0046439772   9.098263e-05
             58   0.0045343596  8.9563764e-05   0.0045089543  8.9209341e-05    0.004593357  9.1041091e-05
             59   0.0043324035  8.8030296e-05   0.0043061235  8.7594707e-05   0.0043895925  8.9052215e-05
             60   0.0044626595  8.8853451e-05   0.0044354595  8.8421299e-05   0.0045210236  8.9858048e-05
             61   0.0045040183  8.9970758e-05   0.0044780027  8.9581487e-05   0.0045625207  9.1103179e-05
             62   0.0044063617  8.7738321e-05   0.0043792312  8.7302639e-05   0.0044608477  8.8651961e-05
             63   0.0045862037  9.0659179e-05   0.0045586358  9.0240175e-05   0.0046454978  9.1640265e-05
             64   0.0045125775  8.9789167e-05   0.0044733262  8.9614565e-05   0.0045715061  9.0758828e-05
             65    0.004451525  8.8249412e-05   0.0044183416  8.7788258e-05    0.004505036  8.9238219e-05
             66    0.004606116  9.0094124e-05   0.0045771837  8.9970872e-05   0.0046684035  9.1530522e-05
             67   0.0044915674    8.86176e-05   0.0044649086   8.819335e-05   0.0045452119  8.9532929e-05
             68    0.004477094  8.9384813e-05   0.0044510366   8.897665e-05   0.0045340627  9.1009417e-05
             69   0.0044106597  8.8789727e-05    0.004385942  8.8407733e-05   0.0044695529  9.0092243e-05
             70   0.0044225606  8.9231482e-05   0.0043960243  8.8814382e-05   0.0044786606  9.0208697e-05
             71   0.0044814237  8.8367009e-05    0.004453586  8.7926233e-05   0.0045401422  8.9564855e-05
             72   0.0044006584  8.8437791e-05    0.004373963  8.8026513e-05   0.0044610876  8.9478587e-05
             73   0.0043646771  8.8446394e-05   0.0043377059  8.8015707e-05   0.0044196892  8.9538311e-05
             74   0.0043983033   8.816619e-05   0.0043740599   8.780116e-05   0.0044537861  8.9263902e-05
             75   0.0045040864  8.8715428e-05   0.0044765678  8.8297859e-05   0.0045690247  8.9821612e-05
