# YH_HIG19016-a        central        num_err    min (scale)        num_err    max (scale)        num_err
# afidR2
              0      0.5552572   0.0025370343     0.55178541   0.0025238796     0.56131488   0.0025988153
           0.15     0.54239652   0.0025023743      0.5390642   0.0024898669     0.54796792   0.0025484141
            0.3     0.52123929   0.0024652274     0.51831017   0.0024653296     0.52647393   0.0025243678
           0.45     0.50488141   0.0024202651     0.50157616   0.0024176813     0.50977439   0.0024685043
            0.6      0.4674319   0.0023541745      0.4644611   0.0023631352      0.4719739   0.0024112591
           0.75     0.43352577   0.0022689978     0.43067614   0.0022602689     0.43769934   0.0023106711
            0.9     0.36936999   0.0014772969     0.36764337    0.001491227     0.37342415   0.0015218025
            1.2     0.25873578     0.00106976     0.25736275   0.0010734084     0.26081403   0.0011045425
            1.6     0.12648231  0.00076448207     0.12585337  0.00076181172     0.12764148  0.00077774539
              2    0.027940089  0.00032592499    0.027820552  0.00032487806    0.028159506  0.00032878747
            2.5    0.027940089  0.00032592499    0.027820552  0.00032487806    0.028159506  0.00032878747
