# YHABSfine-aaf        central        num_err    min (scale)        num_err    max (scale)        num_err
# idR3
              0      0.5035802   0.0029764292     0.50032173   0.0029614216     0.50832448   0.0030298442
            0.1     0.49889782   0.0029726882     0.49573564   0.0029572958     0.50409017   0.0030265217
            0.2     0.48617503   0.0029236185     0.48318857   0.0029091085     0.49099655   0.0029774115
            0.3     0.46818314   0.0028755742     0.46579641   0.0028732292     0.47291397   0.0029288165
            0.4     0.45539093   0.0028500249     0.45170726   0.0028555344     0.45915259   0.0029129253
            0.5     0.43514318   0.0027774499     0.43254677   0.0027657776     0.43922959    0.002818655
            0.6     0.40664647   0.0027105733      0.4042417    0.002714254     0.41095337    0.002756753
            0.7     0.38426501    0.002618315     0.38186851   0.0026108362     0.38814474   0.0026577736
            0.8     0.35409273   0.0025297536     0.35170979   0.0025172667     0.35757592   0.0025712888
            0.9     0.32461118    0.002431454     0.32274202   0.0024290564      0.3276741   0.0024726848
              1     0.29431592   0.0023119577     0.29262866   0.0023040628     0.29720665   0.0023438452
            1.1     0.26234194   0.0021698112     0.26089895   0.0021644643     0.26527732   0.0022015771
            1.2     0.23341207   0.0020471738     0.23260855   0.0020408011     0.23527243   0.0020765087
            1.3     0.20519481   0.0018993692     0.20405605   0.0018906436     0.20712746   0.0019242682
            1.4     0.17619216   0.0017880081     0.17528168   0.0017809636     0.17731058   0.0018158532
            1.5     0.15602051   0.0016835841     0.15530998   0.0016790944     0.15728498   0.0017068809
            1.6     0.12522973   0.0015134527     0.12448354    0.001508121     0.12622457   0.0015332557
            1.7     0.10506946   0.0013802598     0.10453016   0.0013759945      0.1059116     0.00139511
            1.8    0.086306104   0.0012684787     0.08590289    0.001263518    0.087050402   0.0012819681
            1.9    0.066558339    0.001114404    0.066270483   0.0011102849    0.067151289     0.00112414
              2    0.050709395  0.00097246041    0.050501649  0.00096918709    0.051068795  0.00098035826
            2.1    0.033916149  0.00078752561    0.033772896  0.00078479967    0.034153876  0.00079243017
            2.2    0.020142762  0.00061076246     0.02006153   0.0006088084    0.020296453  0.00061473509
            2.3     0.00863816  0.00040587881   0.0085974297  0.00040472423   0.0087078651  0.00040862965
            2.4   0.0015372313  0.00017493594    0.001520129  0.00017423148    0.001552597  0.00017550344
            2.5              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.7              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
            2.9              0              0              0              0              0              0
              3              0              0              0              0              0              0
            3.1              0              0              0              0              0              0
            3.2              0              0              0              0              0              0
            3.3              0              0              0              0              0              0
            3.4              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            3.6              0              0              0              0              0              0
            3.7              0              0              0              0              0              0
            3.8              0              0              0              0              0              0
            3.9              0              0              0              0              0              0
              4              0              0              0              0              0              0
            4.1              0              0              0              0              0              0
            4.2              0              0              0              0              0              0
            4.3              0              0              0              0              0              0
            4.4              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            4.6              0              0              0              0              0              0
            4.7              0              0              0              0              0              0
            4.8              0              0              0              0              0              0
            4.9              0              0              0              0              0              0
              5              0              0              0              0              0              0
