#    draa-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
            0.1 -0.00017477232  0.00048532702 -0.00018093672  0.00048633845 -0.00017005888  0.00048218566
            0.2   0.0015177189   0.0001753793   0.0015147736  0.00017574088    0.001520254  0.00017497661
            0.3    0.007465797  0.00036205614   0.0074356548  0.00036060031   0.0074961485  0.00036356732
            0.4    0.021420629  0.00061872622    0.021347358  0.00061715499    0.021441275   0.0006237956
            0.5    0.046707158  0.00091820413    0.046596909  0.00091493604    0.046862562  0.00092579176
            0.6    0.075042095   0.0011358667    0.074824784   0.0011329978    0.075188978   0.0011386574
            0.7     0.10949101   0.0013934611     0.10912631   0.0013884585     0.10978443   0.0013988465
            0.8     0.14059352   0.0016049968     0.13995897   0.0015987062     0.14088502   0.0016096142
            0.9     0.17858139   0.0017974789      0.1777939   0.0017971121     0.17915587   0.0018122151
              1     0.21334955   0.0019345551     0.21221679   0.0019250824     0.21397903   0.0019407458
            1.1     0.24408473   0.0020783759     0.24267302   0.0020686823     0.24507237   0.0020896246
            1.2     0.27183632    0.002186784     0.27014906   0.0021782783     0.27305313   0.0022029491
            1.3     0.29845047   0.0022922833     0.29649135   0.0022854712     0.29999002   0.0023099589
            1.4     0.31166115   0.0023709857     0.30954405   0.0023537005     0.31352522   0.0023850418
            1.5     0.32917656   0.0024266156     0.32729301   0.0024249091     0.33211229   0.0024859006
            1.6     0.33747743   0.0024439586     0.33561454   0.0024488323     0.34046954   0.0024900976
            1.7     0.34035782   0.0024507006     0.33842271   0.0024447043     0.34374469   0.0024886969
            1.8     0.34369818   0.0024628797     0.34152727   0.0024542511     0.34738334   0.0024986209
            1.9     0.33726387   0.0024456051     0.33545732   0.0024466059     0.34146954   0.0024925915
              2     0.33299958   0.0024416755     0.33108449   0.0024304411     0.33733389    0.002490642
            2.1     0.32909163   0.0024410166     0.32702429   0.0024495695     0.33280168   0.0024960846
            2.2     0.32041414   0.0024084235     0.31852673   0.0024029756     0.32446688   0.0024474018
            2.3     0.31614301    0.002370734     0.31411309    0.002359073     0.31989948   0.0024108181
            2.4      0.3067973   0.0023658601     0.30488171   0.0023537768     0.31100809   0.0024066307
            2.5       0.294731   0.0023110104     0.29286448   0.0023007297     0.29892941   0.0023619859
            2.6     0.28583989   0.0022652487      0.2839269   0.0022608679     0.28964892   0.0023155603
            2.7     0.27818581   0.0022334445     0.27652687   0.0022228558     0.28171383   0.0022618866
            2.8     0.27428245   0.0022250918     0.27252285   0.0022276274     0.27723701   0.0022719194
            2.9     0.26742671   0.0021848958     0.26581889   0.0021757276     0.27025151   0.0022238997
              3     0.26706405   0.0021734026     0.26530519   0.0021630552     0.26982538   0.0022153222
            3.1     0.21060039   0.0019371589     0.20915941   0.0019330322     0.21283159   0.0019964619
            3.2    0.096997338   0.0012977635    0.096373215   0.0012912344    0.097779783   0.0013084876
            3.3    0.051371523  0.00095440941    0.050996331  0.00095873955    0.051770169  0.00096126535
            3.4    0.025456682  0.00066670505    0.025302763  0.00066377875     0.02562124  0.00067026153
            3.5     0.01105148  0.00043954747    0.010973154  0.00043893656    0.011108209  0.00044117482
            3.6   0.0040498274  0.00027713742   0.0040044597  0.00027674626   0.0040716173    0.000278199
            3.7   0.0012342434  0.00016553155   0.0012307983  0.00016568572   0.0012370822  0.00016531646
            3.8  0.00029967627  0.00038175515  0.00029769677  0.00038202504  0.00030156587   0.0003815306
            3.9              0              0              0              0              0              0
              4              0              0              0              0              0              0
            4.1              0              0              0              0              0              0
            4.2              0              0              0              0              0              0
            4.3              0              0              0              0              0              0
            4.4              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            4.6              0              0              0              0              0              0
            4.7              0              0              0              0              0              0
            4.8              0              0              0              0              0              0
            4.9              0              0              0              0              0              0
              5              0              0              0              0              0              0
            5.1              0              0              0              0              0              0
            5.2              0              0              0              0              0              0
            5.3              0              0              0              0              0              0
            5.4              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            5.6              0              0              0              0              0              0
            5.7              0              0              0              0              0              0
            5.8              0              0              0              0              0              0
            5.9              0              0              0              0              0              0
              6              0              0              0              0              0              0
            6.1              0              0              0              0              0              0
            6.2              0              0              0              0              0              0
            6.3              0              0              0              0              0              0
            6.4              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
            6.6              0              0              0              0              0              0
            6.7              0              0              0              0              0              0
            6.8              0              0              0              0              0              0
            6.9              0              0              0              0              0              0
              7              0              0              0              0              0              0
            7.1              0              0              0              0              0              0
            7.2              0              0              0              0              0              0
            7.3              0              0              0              0              0              0
            7.4              0              0              0              0              0              0
            7.5              0              0              0              0              0              0
            7.6              0              0              0              0              0              0
            7.7              0              0              0              0              0              0
            7.8              0              0              0              0              0              0
            7.9              0              0              0              0              0              0
              8              0              0              0              0              0              0
            8.1              0              0              0              0              0              0
            8.2              0              0              0              0              0              0
            8.3              0              0              0              0              0              0
            8.4              0              0              0              0              0              0
            8.5              0              0              0              0              0              0
            8.6              0              0              0              0              0              0
            8.7              0              0              0              0              0              0
            8.8              0              0              0              0              0              0
            8.9              0              0              0              0              0              0
              9              0              0              0              0              0              0
            9.1              0              0              0              0              0              0
            9.2              0              0              0              0              0              0
            9.3              0              0              0              0              0              0
            9.4              0              0              0              0              0              0
            9.5              0              0              0              0              0              0
            9.6              0              0              0              0              0              0
            9.7              0              0              0              0              0              0
            9.8              0              0              0              0              0              0
            9.9              0              0              0              0              0              0
             10              0              0              0              0              0              0
