#     ptphoton1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0  3.0986271e-05  1.3959231e-05  3.0831226e-05  1.3884195e-05  3.1120385e-05   1.402486e-05
              5  1.6696436e-05  3.3471859e-06  1.6373653e-05  3.3564587e-06   1.670793e-05  3.3426204e-06
             10  6.3014144e-05  4.7741399e-06  6.2695287e-05   4.755361e-06  6.3300053e-05  4.7904125e-06
             15  0.00020724274  8.5682059e-06  0.00020608955   8.533335e-06   0.0002081765   8.605205e-06
             20  0.00044461958  1.2398239e-05  0.00044066867  1.2386387e-05  0.00044783542  1.2472995e-05
             25  0.00082112606  1.7130397e-05  0.00081550714  1.7097366e-05   0.0008276679  1.7349461e-05
             30   0.0012470337  2.1070297e-05   0.0012395983  2.0975872e-05   0.0012563964  2.1302165e-05
             35   0.0019328263  2.6356808e-05   0.0019190534  2.6302967e-05   0.0019541394  2.6690556e-05
             40    0.002731826  3.1411545e-05   0.0027182103  3.1521756e-05   0.0027649164    3.19578e-05
             45   0.0036294235  3.6522342e-05   0.0036134522   3.648663e-05   0.0036751852  3.7068248e-05
             50   0.0049098268  4.1947593e-05   0.0048718849   4.212026e-05   0.0049681493  4.2923756e-05
             55   0.0065739668  4.8483691e-05    0.006543351  4.8170309e-05    0.006655959  4.9107101e-05
             60    0.009277528  5.8339813e-05   0.0092177865  5.8283425e-05   0.0093946377  6.0815281e-05
             65    0.011765977  6.4919721e-05    0.011695156  6.4908487e-05    0.011890184  6.6481785e-05
             70    0.012382319  6.6847655e-05    0.012305621  6.6697541e-05    0.012525766  6.8118409e-05
             75    0.012194164  6.5503006e-05    0.012119008  6.5380715e-05    0.012346033  6.6716553e-05
             80    0.011642855  6.4257773e-05    0.011574218  6.4329245e-05    0.011800124  6.5729833e-05
             85    0.011093724  6.3005718e-05     0.01102497   6.268699e-05    0.011233223  6.4057459e-05
             90    0.010415041  6.1251886e-05     0.01035054    6.13363e-05    0.010530606  6.3129535e-05
             95   0.0096364196  5.8820537e-05    0.009582075  5.8670871e-05   0.0097533159   5.986527e-05
            100   0.0089793324  5.7316367e-05   0.0089172611  5.7344628e-05   0.0090737549  5.8428007e-05
            105   0.0083469605  5.4198569e-05   0.0082990588  5.3960147e-05   0.0084341641  5.5724852e-05
            110    0.007385482   5.138621e-05   0.0073387477   5.147641e-05   0.0074594593  5.2550767e-05
            115   0.0069097417  4.9746838e-05   0.0068676067   4.972535e-05     0.00697765  5.0582905e-05
            120   0.0062666087  4.7406261e-05   0.0062242085  4.7331077e-05   0.0063184342  4.8132749e-05
            125   0.0056496316  4.4854333e-05   0.0056170722  4.4687151e-05   0.0056967032  4.5289412e-05
            130   0.0051522161  4.2964304e-05   0.0051217555  4.2770999e-05   0.0051927969  4.3333906e-05
            135   0.0047089675  4.0797069e-05   0.0046808178  4.0611267e-05    0.004744237  4.1217877e-05
            140   0.0041922033  3.8865785e-05   0.0041673403  3.8767061e-05   0.0042190957  3.9257697e-05
            145   0.0039185489  3.7734877e-05   0.0038978919  3.7647926e-05   0.0039484915  3.8337006e-05
            150    0.003539157  3.5529465e-05   0.0035197161  3.5340495e-05   0.0035601941  3.5957957e-05
            155   0.0031747856  3.3679292e-05   0.0031573105  3.3514491e-05   0.0031967232  3.3943466e-05
            160   0.0029087994  3.2445364e-05    0.002892627  3.2284491e-05   0.0029278379  3.2709484e-05
            165   0.0025996923  3.0740079e-05   0.0025851368  3.0600535e-05   0.0026143857  3.0978199e-05
            170   0.0023362883   2.890755e-05   0.0023226073   2.882526e-05   0.0023490664  2.9222562e-05
            175   0.0022055442    2.78683e-05    0.002194276  2.7748548e-05    0.002216585  2.8007543e-05
            180    0.002019668  2.6632274e-05    0.002008604  2.6506506e-05   0.0020276541  2.6740568e-05
            185   0.0017794689   2.505605e-05   0.0017697792  2.4934292e-05   0.0017874214  2.5276821e-05
            190   0.0016628436  2.4269061e-05   0.0016534067  2.4150347e-05   0.0016682818  2.4364951e-05
            195    0.001502725  2.2910599e-05   0.0014952113  2.2816084e-05   0.0015065181  2.3044519e-05
