#       totalaa        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       1.084615   0.0010323804      1.0784018   0.0010542129      1.0959775   0.0011466217
              1       1.084615   0.0010323804      1.0784018   0.0010542129      1.0959775   0.0011466217
