# PTH_HIG19016-        central        num_err    min (scale)        num_err    max (scale)        num_err
# aafidR3
              0  0.00023325893  8.9571543e-06  0.00023097279  8.9486135e-06  0.00023468093   8.999098e-06
              5  0.00075464988   1.653237e-05  0.00074610525  1.6717009e-05  0.00075924615  1.6611216e-05
             10   0.0012585185  2.0915522e-05   0.0012508591  2.0842985e-05   0.0012662649  2.1119897e-05
             15   0.0017532238  2.5248955e-05   0.0017403908  2.5120155e-05   0.0017614765  2.5216942e-05
             20   0.0021499802  2.7510169e-05   0.0021375945  2.7423085e-05   0.0021716595   2.781998e-05
             25   0.0026018272  3.0533388e-05    0.002584752  3.0379415e-05   0.0026281011  3.0895003e-05
             30   0.0029384281  3.2626918e-05   0.0029198429  3.2465536e-05   0.0029692907   3.306418e-05
             35   0.0033027666  2.4287904e-05   0.0032805698  2.4160317e-05   0.0033436271  2.4598155e-05
             45   0.0037659711  2.1432432e-05   0.0037421574  2.1366903e-05   0.0038224945  2.2102212e-05
             60   0.0038397271  1.8492464e-05   0.0038147607  1.8479965e-05   0.0038900182  1.9027335e-05
             80   0.0035520077  1.7936189e-05   0.0035313195  1.7875571e-05   0.0035986431  1.8326448e-05
            100   0.0029963752  1.6349504e-05   0.0029792176  1.6352045e-05   0.0030322966  1.6677381e-05
            120   0.0025526003  1.4867499e-05   0.0025375986  1.4880423e-05   0.0025763209  1.5163898e-05
            140   0.0019814348  1.0946476e-05   0.0019683944  1.0895045e-05   0.0019960937  1.1109721e-05
            170   0.0014358811  9.2353876e-06   0.0014269639  9.1850861e-06   0.0014427998  9.3387545e-06
            200   0.0009027979  5.6415838e-06  0.00089710764   5.613959e-06  0.00090582481  5.6588159e-06
            250  0.00040215037   2.704083e-06  0.00040001811  2.6923486e-06   0.0004030629  2.7087557e-06
            350  0.00013218672  1.5304953e-06    0.000131686  1.5259449e-06   0.0001323818  1.5351062e-06
            450  5.8612415e-07  8.8498044e-09  5.8436231e-07  8.8213493e-09  5.8888605e-07  8.9578099e-09
          14000  5.8612415e-07  8.8498044e-09  5.8436231e-07  8.8213493e-09  5.8888605e-07  8.9578099e-09
