#        dphiaa        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.18608321   0.0010285725     0.18520651   0.0010256791      0.1873978     0.00104249
     0.31415927     0.22363336   0.0011409733     0.22237644    0.001140785     0.22490996   0.0011669055
     0.62831853     0.27560544   0.0012279223     0.27430286     0.00122918     0.27745228   0.0012448302
      0.9424778     0.32419699    0.001345015     0.32234965   0.0013395724     0.32652895    0.001360761
      1.2566371     0.36573942   0.0014282765     0.36354129   0.0014388867     0.36895583   0.0014753642
      1.5707963     0.39181023   0.0015053606      0.3893682   0.0015050438     0.39585693   0.0015393134
      1.8849556     0.40667698   0.0015079552     0.40431217   0.0015117832      0.4112309   0.0015551842
      2.1991149     0.41980001   0.0015406909     0.41724368    0.001533913     0.42524343    0.001587031
      2.5132741      0.4233625   0.0015457911     0.42105841   0.0015433383     0.42864412   0.0015918882
      2.8274334     0.42675392   0.0015575762     0.42429016   0.0015744945     0.43119108   0.0016319053
      3.1415927     0.42675392   0.0015575762     0.42429016   0.0015744945     0.43119108   0.0016319053
